##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ALLIANCE_ENTENTE;T. Entente;Triple Entente;Triplice Intesa;Triple Entente;Entente;Ententa;;Антанта;;;X
ALLIANCE_CENTRAL;C. Powers;Triple Alliance;Triplice Alleanza;Triple Alianza;Mittelmдchte;P. centralne;;Центр. Державы;;;X
ALLIANCE_COM1914;Comintern;Komintern;Comintern;Comintern;Komintern;Komintern;;Коминтерн;;;X
GAME_END_ENTENTE_VICTORY;The game ended in a victory of the Triple Entente.;La partie s'achиve sur une victoire de la Triple Entente.;La partita и finita con una vittoria della Triplice Intesa;El juego ha terminado con la victoria de la Triple Entente.;Das Spiel endete mit einem Sieg der Entente.;Gra skoсczyіa siк zwyciкstwem Trуjporozumienia (Ententy).;;Игра завершилась победой тройственной Антанты.;;;X
GAME_END_ENTENTE_TOTAL;The game ended in a total victory of the Triple Entente.;La partie s'achиve sur une victoire totale de la Triple Entente.;La partita и finita con una vittoria totale della Triplice Intesa;El juego ha terminado con la victoria total de la Triple Entente.;Das Spiel endete mit einem ьberzeugenden Sieg der Entente.;Gra skoсczyіa siк caіkowitym zwyciкstwem Trуjporozumienia (Ententy).;;Игра завершилась безоговорочной победой тройственной Антанты.;;;X
GAME_END_CENTRAL_VICTORY;The game ended in a victory of the Central Powers.;La partie s'achиve sur une victoire de la Triple Alliance.;La partita и finita con una vittoria della Triplice Alleanza;El juego ha terminado con la victoria de la Triple Alianza;Das Spiel endete mit einem Sieg der Mittelmдchte.;Gra skoсczyіa siк zwyciкstwem Trуjprzymierza (paсstw centralnych).;;Игра завершилась победой Центральных Держав;;;X
GAME_END_CENTRAL_TOTAL;The game ended in a total victory of the Central Powers.;La partie s'achиve sur une victoire totale de la Triple Alliance.;La partita и finita con una vittoria totale della Triplice Alleanza;El juego ha terminado con la victoria total de la Triple Alianza;Das Spiel endete mit einem ьberzeugenden Sieg der Mittelmдchte.;Gra skoсczyіa siк caіkowitym zwyciкstwem Trуjprzymierza (paсstw centralnych).;;Игра завершилась безоговорочной победой Центральных Держав;;;X
GAME_END_COM1914_VICTORY;The game ended in a victory of the Comintern.;La partie s'achиve sur une victoire du Komintern;Il gioco и finito con la vittoria del Comintern;El juego ha terminado con victoria del Comitern;Das Spiel endete mit einem Sieg der Komintern;Gra skoсczyіa siк zwyciкstwem Kominternu.;;Игра завершилась победой Коминтерна;;;X
GAME_END_COM1914_TOTAL;The game ended in a total victory of the Comintern.;La partie s'achиve sur une victoire total du Komintern;Il gioco и finito con una vittoria totale del Comintern;El juego ha terminado con victoria total del Comitern;Das Spiel endete mit einem ьberwдltigenden Sieg der Komintern;Gra skoсczyіa siк caіkowitym zwyciкstwem Kominternu.;;Игра завершилась безоговорочной победой Коминтерна;;;X
##;;;;;;;;;;;X
PROV_PETROGRAD;Petrograd;Petrograd;Petrograd;Petrogrado;Petrograd;Piotrogrуd;;Петроград;;;X
PROV_TSARITSYN;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Carycyn;;Царицын;;;X
PROV_POKROVSK;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrowsk;;Покровск;;;X
##;;;;;;;;;;;X
SPA14;Spain;Espagne;Spagna;Espaсa;Spanien;Hiszpania;;Испания;;;X
LBY14;Senussi;Sanussi;Senussi;Senussi;Senussi;Sanussi;;Сенусси;;;X
SAU14;Kingdom of Najd;Nejd;Regno di Najd;Reino de Nadj;Das Kцnigreich Najd;Krуlestwo Nedїdu;;Королевство Неджд;;;X
PER14;Persia;Persia;Persia;Persia;Persien;Persja;;Персия;;;X
SER1919;Kingdom of Serbs, Croats and Slovenes;Royaume des Serbes, Croates et Slovиnes;Regno dei Serbi, Croati e Sloveni ;El Reino de los Serbios, Croatas y Eslovenos;Das Kцnigreich der Serben, Kroaten und Slowenen;Krуlestwo Serbуw, Chorwatуw i Sіoweсcуw;;Королевство Сербов, Хорватов и Словенцев;;;X
UTC_SOUTHERN_RUSSIA;Southern Russia;Russie mйridionale;Russia Meridionale;Rusia del Sur;Sьd-Russland;Rosja Poіudniowa;;Южная Россия;;;X
PRI_NORTHERN_RUSSIA;Northern Russia;Russie septentrionale;Russia Settentrionale;Rusia del Norte;Nord-Russland;Rosja Pуіnocna;;Северная Россия;;;X
##;;;;;;;;;;;X
## Minister Personalities;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_NONE;none;Aucun;nessuna;ninguna;nichts;Brak;;нет;;;X
NPERSONALITY_BIASED_INTELLECTUAL;Biased Intellectual;Intellectuel а prйjugйs;Intellettuale prevenuto;Intelectual partidista;voreingenommener Intellektueller;Stronniczy intelektualista;;Предвзятый интеллектуал;;;X
NPERSONALITY_IDEOLOGICAL_CRUSADER;Ideological Crusader;Croisй idйologique;Crociato ideologico;Cruzado ideolуgico;ideologischer Kreuzritter;Ideologiczny krzyїowiec;;Идейный борец;;;X
NPERSONALITY_APOLOGETIC_CLERK;Apologetic Clerk;Fonctionnaire irrйsolu;Funzionario Indeciso;Funcionario indeciso;aghafter Angestellter;Pokorny urzкdnik;;Примиренец;;;X
NPERSONALITY_IRON_FISTED_BRUTE;Iron-fisted Brute;Brute;Bruto con pugno di ferro;Bestia con puсo hierro;brutaler Eisenfresser;Okrutnik;;Железный канцлер;;;X
NPERSONALITY_GREAT_COMPROMISER;Great Compromiser;As du compromis;Gran diplomatico;Gran conciliador;groЯer Kompromissler;Czіowiek kompromisu;;Мастер компромисса;;;X
NPERSONALITY_GENERAL_STAFFER;General Staffer;Gйnйral dirigiste;Generali di carriera;General de carrera;Generalstabsmitglied;Dawny szef sztabu;;Генштабист;;;X
NPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;The Cloak-and-Dagger Schemer;Conspirateur;Cospiratore occulto;Maquiavйlico en la sombra;Der Mantel-und-Degen-Planer;Spiskowiec;;Рыцарь плаща и кинжала;;;X
NPERSONALITY_ADMINISTRATIVE_GENIUS;Administrative Genius;Gйnie bureaucrate;Genio amministrativo;Genio de la gestiуn;Verwaltungsgenie;Geniusz zarz№dzania;;Административный гений;;;X
NPERSONALITY_RESOURCE_INDUSTRIALIST;Resource Industrialist;Industriel compulsif;Industriale intraprendente;Industrial de recursos;Ressourcen-Industrialist;Przemysіowiec;;Сырьевой магнат;;;X
NPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;Laissez-Faire Capitalist;Capitaliste laxiste;Capitalista noncurante;Capitalista libre mercado;Laissez-Faire-Kapitalist;Wyznawca doktryny Laissez-Faire ;;Либеральный капиталист;;;X
NPERSONALITY_THEORETICAL_SCIENTIST;Theoretical Scientist;Scientifique йrudit;Scienziato teorico;Cientнfico teуrico;theoretischer Wissenschaftler;Naukowiec teoretyk;;Ученый-теоретик;;;X
NPERSONALITY_MILITARY_ENTREPRENEUR;Military Entrepreneur;Entrepreneur militariste;Imprenditore militare;Contratista militar;Kriegsunternehmer;Stary oficer;;Ставленник ВПК;;;X
NPERSONALITY_BATTLE_FLEET_PROPONENT;Battle Fleet Proponent;Adepte des navires;Sostenitore delle battaglie navali;Partidario flota combate;Schlachtflotten-Befьrworter;Zwolennik ciкїkiej floty;;Сторонник надводного флота;;;X
NPERSONALITY_SUBMARINE_PROPONENT;Submarine Proponent;Adepte des sous-marins;Sostenitore dei sommergibili;Partidario submarinos;U-Boot-Befьrworter;Zwolennik okrкtуw podwodnych;;Сторонник подводного флота;;;X
NPERSONALITY_TANK_PROPONENT;Tank Proponent;Adepte des blindйs;Sostenitore dei carri armati;Partidario tanques;Panzerbefьrworter;Zwolennik czoіgуw;;Сторонник танковых войск;;;X
NPERSONALITY_INFANTRY_PROPONENT;Infantry Proponent;Adepte de l’infanterie;Sostenitore della fanteria;Partidario infanterнa;Infanteriebefьrworter;Zwolennik piechoty;;Сторонник сухопутных войск;;;X
NPERSONALITY_AIR_TO_GROUND_PROPONENT;Air-to-Ground Proponent;Adepte des avions;Sostenitore degli attacchi aria-terra;Partidario aire-tierra;Luft-Boden-Befьrworter;Zwolennik nalotуw na cele l№dowe;;Сторонник тактической авиации;;;X
NPERSONALITY_AIR_TO_SEA_PROPONENT;Air-to-Sea Proponent;Adepte des avions navals;Sostenitore degli attacchi aria-mare;Partidario aire-mar;Luft-See-Befьrworter;Zwolennik nalotуw na cele morskie;;Сторонник морской авиации;;;X
NPERSONALITY_STRATEGIC_AIR_PROPONENT;Strategic Air Proponent;Adepte des bombardiers;Sostenitore degli attacchi aerei strategici;Partidario bombardeo estrat.;Befьrworter strategischer Luftangriffe;Zwolennik nalotуw strategicznych;;Сторонник стратегической авиации;;;X
NPERSONALITY_SILENT_LAWYER;Silent Lawyer;Avocat discret;Avvocato silenzioso;Ordenancista silencioso;schweigsamer Anwalt;Cichy prawnik;;Незаметный законник;;;X
NPERSONALITY_COMPASSIONATE_GENTLEMAN;Compassionate Gentleman;Philanthrope;Gentiluomo compassionevole;Caballero compasivo;mitleidsvoller Gentleman;Miіy staruszek;;Благожелательный джентльмен;;;X
NPERSONALITY_CRIME_FIGHTER;Crime Fighter;Chasseur de criminels;Nemico del crimine;Luchador contra crimen;Verbrechensbekдmpfer;Ostatni sprawiedliwy;;Борец с преступностью;;;X
NPERSONALITY_PRINCE_OF_TERROR;Prince of Terror;Prince de la terreur;Principe del terrore;Prнncipe del terror;Fьrst des Schreckens;Ksi№їк terroru;;Кровавый палач;;;X
NPERSONALITY_BACK_STABBER;Back Stabber;Fourbe;Accoltellatore alle spalle;Apuсalador;Verrдter;Zdradliwa їmija;;Интриган;;;X
