Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Hao Pengju;1250001;U87;1941;1943;1990;1990;2;3;1;1;0;1;0;L502204;1942;1960;x
Ren Yuandao;1250002;U87;1938;1939;1940;1990;1;2;0;1;0;1;0;M52019;1930;1960;x
Bao Wenyue;1250003;U87;1938;1939;1940;1990;1;2;512;1;0;1;0;M52018;1940;1960;x
Liu Yufen;1250004;U87;1938;1939;1940;1990;1;2;4;1;0;1;0;L502210;1940;1960;x
Zheng Dazhang;1250005;U87;1938;1939;1990;1990;2;2;16;1;0;1;0;L502212;1940;1960;x
Huang Dawei;1250006;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502218;1939;1960;x
Shen Zhengang;1250007;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502221;1930;1960;x
Ma Xiaotian;1250008;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502222;1930;1960;x
Tang Shengming;1250009;U87;1938;1939;1940;1990;1;4;0;2;0;0;0;L502223;1940;1960;x
Zhou Fohai;1250010;U87;1938;1939;1941;1990;1;1;3;0;1;0;0;L502225;1940;1960;x
Fu Shuangying;1250011;U87;1938;1939;1943;1990;1;4;0;2;0;1;0;L502226;1940;1960;x
Zhang Weixi;1250012;U87;1938;1939;1943;1990;1;4;0;2;0;1;0;L502227;1940;1960;x
Liu Peixu;1250013;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502228;1940;1960;x
Zang Zhuo;1250014;U87;1938;1939;1990;1990;2;4;0;2;0;1;0;L502229;1930;1960;x
Wang Jingwei;1250015;U87;1940;1940;1940;1940;1;1;0;0;0;1;1;L502235;1940;1960;x
Ling Xiao;1250016;U87;1938;1939;1943;1990;2;4;0;2;0;1;1;L502236;1940;1960;x
Chen Changzu;1250017;U87;1938;1990;1990;1990;3;4;0;2;0;1;2;M52020;1930;1960;x
Yao Xijiu;1250018;U87;1938;1939;1990;1990;2;5;0;1;0;4;2;L1510706;1940;1960;x
Lu Chunrong;1250019;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502239;1930;1960;x
Liu Yi;1250020;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502240;1930;1960;x
Cui Peide;1250021;U87;1938;1990;1990;1990;3;4;0;2;0;1;0;L502241;1930;1960;x
Ren Yuandao;1250022;U87;1938;1939;1940;1990;1;2;0;1;0;1;1;M52019;1930;1960;x
Wang Jingwei;1250023;U87;1940;1940;1940;1940;1;1;0;0;0;1;0;L502235;1940;1960;x
Jiang Xiyuan;1250024;U87;1938;1939;1990;1990;2;4;0;2;0;1;1;L502246;1942;1960;x
Miou Bin;1250025;U87;1938;1939;1940;1990;3;5;1;2;0;1;0;L502251;1930;1960;x
Feng Jie;1250026;U87;1938;1940;1945;1990;3;5;0;2;0;1;0;L502252;1930;1960;x
Luo Junqiang;1250027;U87;1938;1940;1945;1990;3;5;1;2;0;1;0;L502253;1930;1960;x
Chen Qun;1250028;U87;1930;1930;1945;1990;2;3;1;2;0;1;0;M52013;1930;1960;x
