Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Artamonov;1335001;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Bezobrazov;1335002;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Blagoveshchensky;1335003;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Denikin;1335004;UTC;1914;1917;1918;1918;0;7;54;3;0;5;0;6937;1914;1932;x
Dragomirov;1335005;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;6938;1914;1932;x
Eberhardt;1335006;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;L501018;1914;1932;x
Evert;1335007;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Gernkross;1335008;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Ivanov;1335009;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;unknown;1914;1932;x
Kuropatkin;1335010;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;6939;1914;1932;x
Lechitsky;1335011;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Litvinov;1335012;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;3178;1914;1932;x
Mannikovsky;1335013;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Martos;1335014;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;6940;1914;1932;x
Nikitin;1335015;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Oranovski;1335016;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Pflug;1335017;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Radkevich;1335018;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Radko-Dmitriev;1335019;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Ruskiy;1335020;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;unknown;1914;1932;x
Sakharov;1335021;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Salza;1335022;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Scheidemann;1335023;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Selivanov;1335024;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Selivatchev;1335025;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
Smirnov;1335026;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Uliev;1335027;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
van der Vliet;1335028;UTC;1914;1990;1990;1990;0;3;0;1;0;5;0;unknown;1914;1932;x
von Plehve;1335029;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
von Rennenkampf;1335030;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;6941;1914;1932;x
Yanushkevich;1335031;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;6942;1914;1932;x
Yepanchin;1335032;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Zherofezhov;1335033;UTC;1914;1917;1990;1990;0;4;0;2;0;5;0;unknown;1914;1932;x
Zhilinski;1335034;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;6943;1914;1932;x
Denikin;1335035;UTC;1914;1917;1918;1990;0;5;0;5;0;5;0;6937;1914;1947;x
Wrangel;1335036;UTC;1914;1917;1918;1990;0;5;0;5;0;5;0;6944;1914;1928;x
Yudenich;1335037;UTC;1914;1917;1918;1990;0;5;0;5;0;5;0;6945;1914;1932;x
Shkuro;1335038;UTC;1914;1917;1918;1990;0;5;0;2;0;5;0;unknown;1914;1932;x
May-Mayevsky;1335039;UTC;1914;1917;1918;1990;0;3;0;5;0;3;0;6946;1914;1932;x
Kuterov;1335040;UTC;1914;1919;1920;1990;0;5;0;2;0;5;0;6947;1914;1930;x
Drozdovsky;1335041;UTC;1916;1919;1932;1932;3;7;0;4;0;5;0;4293;1917;1932;x
