Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Agimi;285001;ALB;1930;1990;1990;1990;3;3;128;0;0;3;0;L34580;1930;1960;x
Agolli;285002;ALB;1930;1939;1990;1990;3;3;0;1;0;3;0;L34581;1930;1960;x
Bicaku;285003;ALB;1930;1930;1990;1990;2;5;768;1;0;4;0;L34582;1930;1960;x
Bushati;285004;ALB;1930;1930;1939;1990;1;4;528;2;0;2;0;L34583;1939;1945;x
Cajupi;285005;ALB;1930;1990;1990;1990;3;3;0;0;0;3;0;L34584;1930;1960;x
Floxhi;285006;ALB;1930;1990;1990;1990;3;3;0;0;0;5;0;L34585;1930;1960;x
Frashëri;285007;ALB;1930;1943;1945;1990;2;4;16;3;0;2;0;L34586;1930;1960;x
Hoxha;285008;ALB;1930;1940;1944;1946;2;6;0;3;0;3;0;L34587;1940;1960;x
Jaxha;285009;ALB;1930;1990;1990;1990;3;3;64;0;0;3;0;L34588;1930;1960;x
Komani;285010;ALB;1930;1930;1944;1990;2;4;32;1;0;3;0;L34589;1930;1946;x
Kristo;285011;ALB;1941;1990;1990;1990;3;4;16;0;0;3;0;L34590;1941;1960;x
Malëshova;285012;ALB;1940;1990;1990;1990;3;2;16;0;0;3;0;L34591;1940;1960;x
Moisiu;285013;ALB;1930;1930;1930;1990;1;3;0;1;0;4;0;L34592;1930;1960;x
Mori;285014;ALB;1930;1943;1990;1990;3;5;264;1;0;3;0;L34593;1930;1945;x
Musai;285015;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34594;1930;1960;x
Nergutti;285016;ALB;1942;1944;1990;1990;2;2;2;1;0;5;0;L34595;1942;1960;x
Percy;285017;ALB;1930;1930;1990;1990;2;5;1;1;0;5;0;L34596;1930;1960;x
Pervizi;285018;ALB;1930;1941;1990;1990;2;3;4;1;0;3;0;L34597;1930;1960;x
Shatun;285019;ALB;1930;1930;1930;1990;1;3;2;1;0;3;0;L34598;1930;1960;x
Shehu;285020;ALB;1930;1930;1990;1990;2;3;4;0;0;2;0;L34599;1930;1960;x
Trajce;285021;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34600;1930;1960;x
Ypi;285022;ALB;1942;1945;1990;1990;3;2;16;1;0;3;0;L34601;1942;1960;x
Zog I;285023;ALB;1930;1930;1930;1930;0;2;0;0;0;5;0;L34602;1930;1960;x
Delvinë;285024;ALB;1930;1937;1943;1990;2;3;0;1;0;3;1;L34603;1930;1960;x
Ghaxa;285025;ALB;1930;1941;1990;1990;3;3;0;1;0;3;1;L34604;1930;1960;x
Kristo;285026;ALB;1941;1990;1990;1990;3;2;0;0;0;3;1;L34605;1941;1960;x
Pakazi;285027;ALB;1930;1930;1930;1990;1;3;0;0;0;3;1;L34606;1930;1960;x
Agolli;285028;ALB;1930;1939;1990;1990;3;3;4096;1;0;3;2;L34607;1930;1960;x
Delvinë;285029;ALB;1930;1939;1990;1990;3;4;131072;1;0;3;2;L34608;1930;1960;x
Floxhi;285030;ALB;1930;1930;1990;1990;2;3;0;0;0;5;2;L34609;1930;1960;x
Musai;285031;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34610;1930;1960;x
Pervizi;285032;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34611;1930;1960;x
Esat Pashë Toptani;285033;ALB;1908;1908;1908;1932;1;4;0;3;0;5;0;3;1908;1932;x
Rushedi Pashë Dërralla;285034;ALB;1908;1932;1932;1932;3;5;0;2;0;5;0;4;1908;1932;x
Prenk Pasha;285035;ALB;1908;1932;1932;1932;3;5;0;2;0;5;0;5;1908;1932;x
Ali Shefqet;285036;ALB;1908;1932;1932;1932;3;5;0;2;0;5;0;6;1908;1932;x
