Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bardolff;115001;AUS;1930;1930;1990;1990;2;5;516;1;0;3;0;L2700;1930;1960;x
Barger;115002;AUS;1930;1940;1990;1990;3;4;0;1;0;4;0;L2701;1930;1960;x
Bassler;115003;AUS;1930;1939;1990;1990;2;4;1;1;0;5;0;L2702;1930;1941;x
Beyer;115004;AUS;1930;1930;1930;1990;1;6;528;2;0;4;0;L2703;1930;1960;x
Bornemann;115005;AUS;1930;1941;1990;1990;3;5;0;1;0;4;0;L2704;1930;1960;x
Britzelmayr;115006;AUS;1944;1990;1990;1990;3;4;0;0;0;2;0;L2705;1944;1960;x
Eglseer;115007;AUS;1930;1990;1990;1990;3;5;256;1;0;3;0;L2706;1930;1960;x
Eppich;115008;AUS;1930;1990;1990;1990;3;5;256;0;0;5;0;L2707;1930;1960;x
Ernst;115009;AUS;1930;1930;1939;1990;2;7;513;1;0;5;0;L2708;1930;1941;x
Feurstein;115010;AUS;1930;1930;1990;1990;2;5;256;1;0;4;0;L2709;1930;1960;x
Gebauer;115011;AUS;1930;1930;1930;1990;1;4;513;1;0;5;0;L2710;1930;1940;x
Glaise-Horstenau;115012;AUS;1930;1930;1990;1990;2;3;0;0;0;3;0;L2711;1930;1960;x
Gräser;115013;AUS;1939;1990;1990;1990;3;5;0;0;0;5;0;L2712;1939;1960;x
Hammer;115014;AUS;1930;1990;1990;1990;3;4;32;0;0;5;0;L2713;1930;1960;x
Haselmayr;115015;AUS;1930;1990;1990;1990;3;5;12;0;0;3;0;L2714;1930;1960;x
Hickmann;115016;AUS;1930;1939;1944;1990;2;5;32;2;0;4;0;L2715;1930;1960;x
Kienbauer;115017;AUS;1930;1990;1990;1990;3;4;0;0;0;4;0;L2716;1930;1960;x
Kotik;115018;AUS;1930;1930;1939;1990;2;3;513;1;0;3;0;L2717;1930;1960;x
Kritek;115019;AUS;1930;1930;1940;1990;2;5;514;1;0;5;0;L2718;1930;1943;x
Kubena;115020;AUS;1930;1930;1943;1945;2;5;0;3;0;4;0;L2719;1930;1960;x
Leitner;115021;AUS;1930;1930;1990;1990;2;3;0;0;0;3;0;L2720;1930;1960;x
Martinek;115022;AUS;1939;1990;1990;1990;3;6;384;1;0;5;0;L2721;1939;1941;x
Materna;115023;AUS;1930;1990;1990;1990;3;4;8;1;0;4;0;L2722;1930;1960;x
Meixner von Zweienstamm;115024;AUS;1930;1930;1938;1990;2;4;528;1;0;4;0;L2723;1930;1941;x
Mickl;115025;AUS;1939;1990;1990;1990;3;5;128;0;0;3;0;L2724;1939;1943;x
Moyses;115026;AUS;1938;1942;1990;1990;3;5;32;1;0;3;0;L2725;1938;1960;x
Pohl;115027;AUS;1930;1943;1990;1990;3;5;0;1;0;4;0;L2726;1930;1960;x
Rendulic;115028;AUS;1930;1990;1990;1990;3;6;128;1;0;2;0;L2727;1930;1960;x
Schaffarz;115029;AUS;1930;1930;1990;1990;2;4;0;0;0;4;0;L2728;1930;1960;x
Schariczer von Rény;115030;AUS;1930;1930;1939;1990;2;5;544;1;0;4;0;L2729;1930;1942;x
Schilhawsky;115031;AUS;1930;1930;1930;1990;1;5;516;1;0;5;0;L2730;1930;1943;x
Schmidt;115032;AUS;1941;1943;1990;1990;2;5;0;1;0;4;0;L2731;1941;1960;x
Schubert;115033;AUS;1930;1990;1990;1990;3;4;0;0;0;5;0;L2732;1930;1960;x
Seebauer;115034;AUS;1942;1945;1990;1990;2;5;128;1;0;5;0;L2733;1942;1960;x
Stümpfl;115035;AUS;1930;1990;1990;1990;3;4;0;0;0;4;0;L2734;1930;1960;x
Towarek;115036;AUS;1941;1990;1990;1990;3;6;64;0;0;5;0;L2735;1941;1960;x
Vaugoin;115037;AUS;1930;1930;1990;1990;2;3;1;0;0;5;0;L2736;1930;1960;x
Vesely;115038;AUS;1930;1990;1990;1990;3;3;0;0;0;5;0;L2737;1930;1960;x
von Brudermann;115039;AUS;1930;1930;1940;1990;2;4;521;2;0;4;0;L2738;1930;1943;x
von Eimannsberger;115040;AUS;1930;1930;1990;1990;2;4;513;1;0;5;0;L2739;1930;1960;x
von Hegedüs;115041;AUS;1940;1943;1990;1990;2;3;2;1;0;4;0;L2740;1940;1960;x
von Hubicki;115042;AUS;1930;1930;1990;1990;2;6;128;2;0;4;0;L2741;1930;1960;x
von Jahn;115043;AUS;1930;1941;1990;1990;2;5;16;1;0;5;0;L2742;1930;1960;x
von Jansa;115044;AUS;1930;1930;1939;1990;1;4;2;1;0;4;0;L2743;1930;1943;x
von Schönburg-Hartenstein;115045;AUS;1930;1930;1940;1990;2;5;576;2;0;5;0;L2744;1930;1941;x
