Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Atanasov;95001;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34000;1944;1960;x
Bakyrdjiev;95002;BUL;1930;1930;1930;1990;1;7;513;1;0;5;0;L34001;1930;1938;x
Boratchev;95003;BUL;1944;1946;1990;1990;3;5;0;1;0;5;0;L34002;1944;1960;x
Boris III;95004;BUL;1930;1930;1930;1930;0;4;2;0;0;5;0;L34003;1930;1943;x
Boydev;95005;BUL;1940;1942;1943;1990;2;4;1;2;0;3;0;L34004;1940;1960;x
Bylgaranov;95006;BUL;1944;1945;1990;1990;3;5;256;1;0;5;0;L34005;1944;1960;x
Daskalov;95007;BUL;1930;1939;1942;1990;2;5;0;2;0;3;0;L34006;1930;1960;x
Dilchovski;95008;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34007;1944;1960;x
Dotcev;95009;BUL;1942;1946;1990;1990;3;5;0;1;0;3;0;L34008;1942;1960;x
Ganev  S.;95010;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34009;1944;1960;x
Ganev  T.;95011;BUL;1942;1945;1990;1990;3;5;0;1;0;4;0;L34010;1942;1960;x
Gentchev;95012;BUL;1942;1944;1990;1990;2;5;0;1;0;2;0;L34011;1942;1946;x
Georgiev  T.;95013;BUL;1930;1930;1990;1990;2;4;0;0;0;4;0;L34012;1930;1939;x
Georgiev  Z.;95014;BUL;1944;1990;1990;1990;3;4;0;0;0;5;0;L34013;1944;1960;x
Grekov;95015;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34014;1944;1960;x
Hadjiivanov;95016;BUL;1942;1944;1990;1990;2;4;0;1;0;4;0;L34015;1942;1960;x
Hadjipetkov;95017;BUL;1937;1940;1990;1990;2;5;0;1;0;2;0;L34016;1937;1942;x
Iliev;95018;BUL;1943;1990;1990;1990;3;4;0;0;0;4;0;L34017;1943;1960;x
Iovov;95019;BUL;1930;1990;1990;1990;3;4;513;1;0;3;0;L34018;1930;1940;x
Ivanov;95020;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34019;1944;1960;x
Kinov;95021;BUL;1944;1945;1946;1990;2;6;0;2;0;3;0;L34020;1944;1960;x
Kiril Preslavski;95022;BUL;1930;1940;1990;1990;2;4;2;1;0;5;0;L34021;1930;1960;x
Kisiov;95023;BUL;1930;1930;1930;1990;1;5;576;1;0;3;0;L34022;1930;1938;x
Koptchev;95024;BUL;1944;1945;1990;1990;2;4;0;1;0;5;0;L34023;1944;1960;x
