Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ariosto Herrera;210001;CHL;1938;1942;1990;1990;2;3;0;1;0;3;0;L140000;1938;1945;x
Ariosto Otarés;210002;CHL;1930;1990;1990;1990;3;3;0;0;0;5;0;L140001;1930;1940;x
Arraya Stiglich;210003;CHL;1939;1942;1990;1990;2;4;4;1;0;5;0;L140002;1939;1960;x
Barrios Tirado;210004;CHL;1938;1990;1990;1990;3;3;128;0;0;5;0;L140003;1938;1944;x
Blanché;210005;CHL;1930;1930;1930;1990;1;4;528;1;0;5;0;L140004;1930;1940;x
Canas Montalva;210006;CHL;1939;1990;1990;1990;3;4;0;0;0;5;0;L140005;1939;1960;x
Castillo Arabquiz;210007;CHL;1941;1990;1990;1990;3;4;0;0;0;5;0;L140006;1941;1960;x
Charpin Rival;210008;CHL;1930;1938;1990;1990;2;4;4;1;0;5;0;L140007;1930;1946;x
Danus Peña;210009;CHL;1939;1943;1990;1990;3;3;256;1;0;5;0;L140008;1939;1960;x
Escudero Otarola;210010;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140009;1930;1945;x
Espinoza Mujica;210011;CHL;1930;1939;1941;1990;1;5;0;2;0;5;0;L140010;1930;1960;x
Fernandez Reyes;210012;CHL;1930;1930;1990;1990;2;4;1;0;0;5;0;L140011;1930;1960;x
Franco Hidalgo;210013;CHL;1938;1990;1990;1990;3;3;1;0;0;5;0;L140012;1938;1946;x
Fuentes Pantoja;210014;CHL;1937;1942;1990;1990;3;4;0;1;0;5;0;L140014;1937;1960;x
Fuentes Rabe;210015;CHL;1930;1930;1930;1990;1;3;0;1;0;5;0;L140015;1930;1941;x
Izurieta Molina;210016;CHL;1942;1990;1990;1990;3;3;256;0;0;5;0;L140016;1942;1960;x
Martinez Pitta;210017;CHL;1939;1941;1944;1990;2;4;2;2;0;5;0;L140017;1939;1960;x
Mezzana;210018;CHL;1930;1990;1990;1990;3;5;32;0;0;5;0;L140018;1930;1944;x
Migueles Caridi;210019;CHL;1938;1943;1990;1990;3;4;128;1;0;5;0;L140019;1938;1946;x
Moreno;210020;CHL;1930;1930;1990;1990;2;3;64;0;0;5;0;L140020;1930;1944;x
Novoa Fuentes;210021;CHL;1930;1930;1930;1930;0;3;0;1;0;5;0;L140021;1930;1942;x
Osuña Marcando;210022;CHL;1943;1946;1990;1990;2;4;0;1;0;3;0;L140022;1943;1960;x
Otero Mujica;210023;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140023;1930;1940;x
Parada Moreno;210024;CHL;1938;1945;1990;1990;3;5;0;1;0;5;0;L140024;1938;1960;x
Pastore Sanchez;210025;CHL;1942;1946;1990;1990;2;3;4;1;0;4;0;L140025;1942;1960;x
Ponce Arellano;210026;CHL;1938;1941;1990;1990;2;3;32;1;0;5;0;L140026;1938;1960;x
Portales Mourgues;210027;CHL;1930;1930;1990;1990;2;4;640;1;0;5;0;L140027;1930;1942;x
Quezada Calvo;210028;CHL;1944;1990;1990;1990;3;3;64;0;0;5;0;L140028;1944;1960;x
Schwarzenberg;210029;CHL;1943;1990;1990;1990;3;4;256;0;0;5;0;L140029;1943;1960;x
Telléz Castro;210030;CHL;1930;1940;1990;1990;2;3;2;1;0;5;0;L140030;1930;1946;x
Urcullu de la Vega;210031;CHL;1938;1942;1945;1990;2;4;0;2;0;5;0;L140031;1938;1960;x
Urrutía;210032;CHL;1930;1930;1990;1990;2;3;0;0;0;5;0;L140032;1930;1945;x
Vidal Merino;210033;CHL;1943;1990;1990;1990;3;3;1;0;0;5;0;L140033;1943;1960;x
Vidal Otero;210034;CHL;1942;1990;1990;1990;3;3;128;0;0;4;0;L140034;1942;1960;x
Vidal Vargas;210035;CHL;1930;1939;1990;1990;2;3;0;1;0;5;0;L140035;1930;1946;x
Vignola Cortes;210036;CHL;1930;1930;1990;1990;2;5;516;1;0;5;0;L140036;1930;1939;x
Allard Pinto;210037;CHL;1930;1939;1943;1990;2;4;0;2;0;5;1;L140037;1930;1946;x
Alvarez Jaramillo;210038;CHL;1941;1945;1990;1990;3;4;0;1;0;5;1;L140038;1941;1960;x
Consiglio Rebora;210039;CHL;1930;1990;1990;1990;3;3;0;0;0;5;1;L140039;1930;1947;x
de la Motte du Portail;210040;CHL;1930;1930;1930;1930;0;4;8704;1;0;5;1;L140040;1930;1940;x
Gallego Fernandez;210041;CHL;1939;1990;1990;1990;3;5;4096;0;0;5;1;L140041;1939;1960;x
Garcia Castelblanco;210042;CHL;1938;1943;1990;1990;2;3;0;1;0;5;1;L140042;1938;1960;x
Gerken Mahn;210043;CHL;1938;1942;1944;1990;2;4;0;2;0;5;1;L140043;1938;1960;x
Gomez Carreño;210044;CHL;1930;1930;1990;1990;2;5;4608;1;0;5;1;L140044;1930;1943;x
Gustavo Silva;210045;CHL;1938;1943;1944;1990;2;4;1024;2;0;5;1;L140045;1938;1960;x
Kulzcewski Garcia;210046;CHL;1943;1990;1990;1990;3;3;0;0;0;3;1;L140046;1943;1960;x
Laréns Quijada;210047;CHL;1944;1990;1990;1990;3;4;1024;0;0;5;1;L140047;1944;1960;x
Meriño Bielich;210048;CHL;1930;1939;1943;1990;1;4;0;2;0;5;1;L140048;1930;1947;x
O'Ryan Orrego;210049;CHL;1938;1939;1942;1990;2;3;0;2;0;5;1;L140049;1938;1943;x
Reyes del Rio;210050;CHL;1941;1943;1945;1990;2;3;0;2;0;5;1;L140050;1941;1960;x
Rodriguez Sepulveda;210051;CHL;1937;1990;1990;1990;3;3;0;0;0;5;1;L140051;1937;1944;x
von Schröders Sarratea;210052;CHL;1940;1990;1990;1990;3;3;0;0;0;5;1;L140052;1940;1960;x
Aracena Aguilar;210053;CHL;1939;1941;1942;1946;1;4;0;1;0;5;2;L140053;1939;1960;x
Barros Ortiz;210054;CHL;1941;1990;1990;1990;3;3;0;0;0;5;2;L140054;1941;1960;x
Castro Lopez;210055;CHL;1930;1939;1990;1990;2;3;0;1;0;5;2;L140055;1930;1942;x
Celedon Palma;210056;CHL;1938;1942;1990;1990;2;3;0;1;0;5;2;L140056;1938;1946;x
Cellejas Rojas;210057;CHL;1937;1942;1990;1990;2;4;131072;1;0;5;2;L140057;1937;1960;x
Francke Mariotti;210058;CHL;1943;1990;1990;1990;3;3;32768;0;0;5;2;L140058;1943;1960;x
Gonzalez Nolle;210059;CHL;1938;1990;1990;1990;3;3;65536;0;0;5;2;L140059;1938;1944;x
Grove Vallejo;210060;CHL;1930;1990;1990;1990;3;3;0;0;0;1;2;L140060;1930;1938;x
Herreros Walker;210061;CHL;1940;1944;1990;1990;3;4;131072;1;0;5;2;L140061;1940;1960;x
Merino Benitez;210062;CHL;1930;1941;1990;1990;2;3;0;1;0;5;2;L140062;1930;1947;x
Mujica Gamboa;210063;CHL;1942;1990;1990;1990;3;5;4096;0;0;5;2;L140063;1942;1960;x
Nuñez Morgado;210064;CHL;1944;1990;1990;1990;3;3;0;0;0;4;2;L140064;1944;1960;x
Puga Monsalve;210065;CHL;1943;1946;1990;1990;3;4;0;1;0;5;2;L140065;1943;1960;x
Sarazua Téran;210066;CHL;1941;1990;1990;1990;3;3;16384;0;0;5;2;L140066;1941;1960;x
Tovarias Arroyo;210067;CHL;1939;1941;1990;1990;2;4;0;1;0;5;2;L140067;1939;1960;x
Vergara Montero;210068;CHL;1930;1939;1990;1990;2;3;0;1;0;5;2;L140068;1930;1960;x
Yuself Urrea;210069;CHL;1938;1941;1945;1990;2;4;0;2;0;5;2;L140069;1938;1960;x
Ibáñez;210070;CHL;1908;1908;1908;1932;1;4;0;3;0;5;0;294;1908;1932;x
Talavera;210071;CHL;1908;1908;1932;1932;2;3;0;2;0;5;0;295;1908;1932;x
Dartnell;210072;CHL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknown;1908;1932;x
Garin;210073;CHL;1908;1932;1932;1932;3;3;0;2;0;5;0;296;1908;1932;x
Bennett;210074;CHL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknown;1908;1932;x
Neff;210075;CHL;1908;1908;1908;1932;1;4;0;3;0;5;1;297;1908;1932;x
Ward;210076;CHL;1908;1932;1932;1932;3;3;0;2;0;5;1;unknown;1908;1932;x
Soublette;210077;CHL;1908;1932;1932;1932;3;3;0;2;0;5;1;unknown;1908;1932;x
Merro;210078;CHL;1908;1908;1932;1932;2;5;0;2;0;5;0;298;1908;1932;x
