Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
David;595001;CON;1944;1946;1990;1990;2;3;4;1;0;5;0;L574000;1944;1960;x
Defraiteur;595002;CON;1939;1943;1946;1990;1;5;128;2;0;5;0;M574028;1939;1960;x
de Vlaminge;595003;CON;1930;1930;1930;1990;1;6;3;1;0;5;0;M574006;1930;1945;x
Deruycke;595004;CON;1930;1930;1990;1990;2;4;2;0;0;5;0;M574005;1930;1946;x
Gerima;595005;CON;1945;1990;1990;1990;3;3;256;0;0;5;0;L574004;1945;1960;x
Kasavubu;595006;CON;1939;1941;1944;1990;1;4;32;2;0;5;0;M574027;1939;1960;x
Lapierre;595007;CON;1930;1990;1990;1990;3;5;528;1;0;5;0;M574024;1930;1941;x
LeMagnen;595008;CON;1930;1930;1990;1990;2;4;514;1;0;5;0;M574029;1930;1942;x
Manera;595009;CON;1930;1990;1990;1990;3;4;64;0;0;5;0;L574008;1930;1960;x
Mboma;595010;CON;1943;1945;1990;1990;2;3;5;1;0;5;0;L574009;1943;1960;x
Micombero;595011;CON;1944;1990;1990;1990;3;4;256;0;0;5;0;M574022;1944;1960;x
Mobutu;595012;CON;1943;1945;1946;1990;1;4;1;2;0;5;0;M574030;1943;1960;x
Mutara III;595013;CON;1930;1930;1930;1930;0;2;1;0;0;5;0;M574001;1930;1960;x
Renondeau;595014;CON;1930;1990;1990;1990;3;3;2;0;0;5;0;M574026;1930;1943;x
Teissier;595015;CON;1930;1990;1990;1990;3;3;1;0;0;5;0;L574014;1930;1960;x
van Reynden;595016;CON;1930;1930;1939;1990;1;5;0;1;0;5;0;M574008;1930;1960;x
Berghen;595017;CON;1940;1990;1990;1990;3;3;1024;0;0;5;1;M574031;1940;1960;x
Mbonyumutwa;595018;CON;1944;1990;1990;1990;3;2;0;0;0;5;1;M574032;1944;1960;x
Nillesen;595019;CON;1941;1990;1990;1990;3;3;0;0;0;5;1;L574018;1941;1960;x
Raffage;595020;CON;1943;1946;1990;1990;2;4;4096;1;0;5;1;M574033;1943;1960;x
van Reynden;595021;CON;1930;1930;1990;1990;1;3;0;1;0;5;1;M574008;1930;1960;x
Berghen;595022;CON;1940;1990;1990;1990;3;4;131072;0;0;5;2;M574031;1940;1960;x
Gerima;595023;CON;1945;1990;1990;1990;3;3;0;0;0;5;2;L574004;1945;1960;x
Mahongo;595024;CON;1943;1990;1990;1990;3;2;0;0;0;5;2;L574023;1943;1960;x
Manera;595025;CON;1930;1990;1990;1990;3;3;0;0;0;5;2;L574008;1930;1960;x
Mwambutsa IV;595026;CON;1930;1930;1939;1990;2;2;0;1;0;5;2;M574011;1930;1960;x
Pascal;595027;CON;1930;1940;1990;1990;2;4;16384;1;0;5;2;M574010;1930;1960;x
Dhanis;595028;U00;1897;1897;1932;1932;2;7;261;3;0;5;0;333;1897;1900;x
Van Dorpe;595029;U00;1897;1932;1932;1932;3;5;256;1;0;5;0;unknown;1897;1914;x
Dielman;595030;U00;1898;1932;1932;1932;3;5;256;1;0;5;0;unknown;1898;1914;x
Tonglet;595031;U00;1898;1932;1932;1932;3;5;256;1;0;5;0;unknown;1900;1914;x
Seghers;595032;U00;1901;1932;1932;1932;3;5;256;1;0;5;0;unknown;1903;1914;x
Warnant;595033;U00;1902;1932;1932;1932;3;5;256;1;0;5;0;unknown;1904;1914;x
Gomine;595034;U00;1904;1932;1932;1932;3;5;256;1;0;5;0;unknown;1906;1932;x
Paternoster;595035;U00;1905;1932;1932;1932;3;5;256;1;0;5;0;unknown;1907;1932;x
Rom;595036;U00;1897;1932;1932;1932;3;7;256;3;0;5;0;334;1897;1932;x
Wahis;595037;U00;1897;1908;1932;1932;2;6;256;2;0;5;0;335;1897;1932;x
Costermans;595038;U00;1897;1897;1932;1932;2;7;257;3;0;5;0;336;1897;1906;x
Jacques;595039;U00;1897;1932;1932;1932;3;7;256;3;0;5;0;337;1897;1908;x
