Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Albertsen;75001;DEN;1938;1990;1990;1990;3;3;2;0;0;5;0;L9500;1938;1960;x
Albrechtsen;75002;DEN;1930;1937;1990;1990;2;3;128;1;0;5;0;L9501;1930;1944;x
Benniken;75003;DEN;1942;1990;1990;1990;3;4;16;0;0;5;0;L9502;1942;1960;x
Engelhardt;75004;DEN;1938;1945;1990;1990;3;3;1;1;0;5;0;L9503;1938;1960;x
Esseman;75005;DEN;1930;1930;1990;1990;2;5;516;1;0;5;0;L9504;1930;1960;x
Gørtz;75006;DEN;1930;1930;1990;1990;2;4;0;1;0;5;0;L9505;1930;1960;x
Iuel-Brockdorff;75007;DEN;1939;1946;1990;1990;3;3;0;1;0;5;0;L9506;1939;1960;x
Jørgensen;75008;DEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L9507;1930;1960;x
Knutzon;75009;DEN;1940;1990;1990;1990;3;4;0;0;0;5;0;L9508;1940;1960;x
Kryssing;75010;DEN;1930;1990;1990;1990;3;3;0;0;0;3;0;L9509;1930;1960;x
Lassen;75011;DEN;1943;1990;1990;1990;3;6;260;1;0;5;0;L9510;1943;1945;x
Mertz;75012;DEN;1930;1930;1990;1990;2;3;0;0;0;5;0;L9511;1930;1960;x
Prior;75013;DEN;1930;1930;1930;1990;1;3;0;0;0;4;0;L9512;1930;1960;x
Rolsted;75014;DEN;1939;1944;1990;1990;3;4;0;1;0;5;0;L9513;1939;1960;x
Sommerfeldt;75015;DEN;1930;1930;1990;1990;2;4;576;1;0;5;0;L9514;1930;1939;x
von Harbou;75016;DEN;1930;1990;1990;1990;3;4;544;1;0;5;0;L9515;1930;1960;x
von Schalburg;75017;DEN;1938;1990;1990;1990;3;3;4;0;0;3;0;L9516;1938;1941;x
Wieth;75018;DEN;1930;1930;1930;1990;1;5;514;1;0;5;0;L9517;1930;1960;x
de Crèvecoeur;75019;DEN;1930;1930;1990;1990;2;3;2560;0;0;5;1;L9518;1930;1960;x
Hammerich;75020;DEN;1930;1939;1945;1990;2;3;0;2;0;4;1;L9519;1930;1960;x
Pontoppidan;75021;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9520;1930;1960;x
Rechnitzer;75022;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9521;1930;1960;x
Ulrich;75023;DEN;1938;1944;1990;1990;3;4;1024;1;0;5;1;L9522;1938;1960;x
Vedel;75024;DEN;1930;1930;1990;1990;2;5;4096;1;0;4;1;L9523;1930;1942;x
Andersen;75025;DEN;1938;1990;1990;1990;3;3;131072;0;0;5;2;L9524;1938;1943;x
Birksted;75026;DEN;1941;1990;1990;1990;3;4;4096;0;0;4;2;L9525;1941;1960;x
Esseman;75027;DEN;1930;1930;1990;1990;2;3;8704;0;0;5;2;L9526;1930;1939;x
Jacobsen;75028;DEN;1930;1939;1990;1990;3;3;16896;1;0;5;2;L9527;1930;1960;x
Kalmberg;75029;DEN;1941;1990;1990;1990;3;3;32768;0;0;5;2;L9528;1941;1960;x
Ulrich;75030;DEN;1938;1944;1990;1990;3;3;0;1;0;5;2;L9529;1938;1960;x
Ørum;75031;DEN;1941;1990;1990;1990;3;3;0;0;0;3;2;L9530;1941;1960;x
Hjalf;75032;DEN;1939;1943;1945;1990;1;4;4;2;0;5;0;L9531;1939;1960;x
Schjødt-Eriksen;75033;DEN;1942;1945;1990;1990;2;4;4;1;0;5;0;L9532;1942;1960;x
Carstensen;75034;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5752;1908;1932;x
Evers;75035;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5753;1908;1932;x
Garde;75036;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5754;1908;1932;x
Christian X;75037;DEN;1912;1912;1912;1932;0;5;0;2;0;4;0;5755;1912;1932;x
Kofoed-Hansen;75038;DEN;1904;1908;1932;1932;2;5;0;2;0;4;1;5756;1904;1932;x
Topsøe-Jensen;75039;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5757;1908;1932;x
Juel-Brockdorff;75040;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5758;1908;1932;x
Wenck;75041;DEN;1908;1932;1932;1932;3;5;0;2;0;4;1;5759;1908;1932;x
