Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
de Montaud y Noguerol;645001;EUS;1930;1937;1990;1990;0;5;2;1;0;5;0;8480;1935;1937;x
Urkiaga;645002;EUS;1930;1937;1990;1990;0;5;1;1;0;5;0;8481;1930;1938;x
Ortuzar;645003;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1930;1960;x
Beldarrain Olalde;645004;EUS;1930;1936;1940;1990;0;5;4;1;0;5;0;8482;1936;1963;x
Erkiaga;645005;EUS;1930;1936;1939;1990;0;5;256;1;0;5;0;8483;1931;1963;x
San Martín;645006;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
Barañano;645007;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
Orueta;645008;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
de Mantxobas;645009;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
de Arrien;645010;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
Urcullu;645011;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
de Lizaso;645012;EUS;1930;1940;1950;1990;0;5;0;1;0;5;0;8484;1931;1963;x
Sansinenea;645013;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
Lazkano;645014;EUS;1930;1936;1939;1990;0;5;16;1;0;5;0;8485;1931;1963;x
de Beiztegi;645015;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
de Rezola;645016;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;8486;1931;1963;x
Aldatz;645017;EUS;1930;1936;1939;1990;0;5;8388608;1;0;5;0;8487;1931;1938;x
de Larrañaga;645018;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
Maidagan Irakulis;645019;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;8488;1931;1963;x
Castet Arrietamaskaraua;645020;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;8489;1931;1938;x
Villanueva;645021;EUS;1930;1936;1939;1990;0;5;0;1;0;5;0;unknown;1931;1963;x
