Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abt;630001;DFR;1938;1990;1990;1990;3;4;0;0;0;5;0;L506000;1938;1960;x
Adlhoch;630002;DFR;1938;1990;1990;1990;3;4;256;0;0;5;0;L506001;1938;1960;x
Altrichter;630003;DFR;1937;1943;1990;1990;2;7;256;1;0;5;0;L506002;1937;1960;x
Anders;630004;DFR;1941;1990;1990;1990;3;3;1;0;0;5;0;L506003;1941;1960;x
Andersen;630005;DFR;1941;1945;1945;1990;1;6;32;2;0;5;0;L3;1941;1960;x
Arning;630006;DFR;1940;1990;1990;1990;3;7;2;0;0;5;0;L506005;1940;1960;x
Audörsch;630007;DFR;1940;1990;1990;1990;3;3;32;0;0;5;0;L506006;1940;1960;x
Bachelin;630008;DFR;1940;1990;1990;1990;3;4;0;0;0;5;0;L506007;1940;1960;x
Back;630009;DFR;1940;1990;1990;1990;3;5;0;0;0;5;0;L506008;1940;1960;x
Bade;630010;DFR;1939;1990;1990;1990;3;3;128;0;0;5;0;L506009;1939;1960;x
Bader;630011;DFR;1941;1990;1990;1990;3;4;128;0;0;5;0;L506010;1941;1960;x
Badinski;630012;DFR;1938;1943;1990;1990;2;4;0;1;0;5;0;L506011;1938;1960;x
Bahn;630013;DFR;1939;1990;1990;1990;3;7;0;0;0;5;0;L506012;1939;1960;x
Barth;630014;DFR;1940;1990;1990;1990;3;4;0;0;0;5;0;L506013;1940;1960;x
Bazing;630015;DFR;1938;1990;1990;1990;3;4;32;0;0;5;0;L506014;1938;1960;x
Becher;630016;DFR;1939;1990;1990;1990;3;3;0;0;0;5;0;L506015;1939;1960;x
Bechler;630017;DFR;1941;1990;1990;1990;3;3;0;0;0;5;0;L506016;1941;1960;x
Becht;630018;DFR;1938;1990;1990;1990;3;3;0;0;0;5;0;L506017;1938;1960;x
Becké;630019;DFR;1938;1990;1990;1990;3;5;8;0;0;5;0;L506018;1938;1960;x
Becker  F.;630020;DFR;1938;1990;1990;1990;3;7;0;1;0;5;0;L506019;1938;1960;x
Becker  F.E.;630021;DFR;1938;1943;1990;1990;2;3;0;0;0;5;0;L506020;1938;1960;x
