Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Airo;145001;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;386;1930;1960;x
Alfthan;145002;FIN;1941;1990;1990;1990;3;5;522;1;0;4;0;L9701;1941;1960;x
Arajuuri;145003;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;387;1930;1960;x
Autti;145004;FIN;1940;1943;1990;1990;3;6;9;2;0;4;0;388;1940;1960;x
Blick;145005;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;389;1930;1960;x
Ekberg;145006;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;390;1939;1960;x
Fagernäs;145007;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;391;1940;1960;x
Grandell;145008;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;392;1930;1960;x
Hanell;145009;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;393;1930;1947;x
Hannuksela;145010;FIN;1938;1990;1990;1990;3;5;72;1;0;4;0;394;1938;1942;x
Heinrichs;145011;FIN;1930;1930;1940;1990;1;7;8;3;0;4;0;395;1930;1960;x
Heiskanen  J.H.;145012;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;396;1939;1960;x
Heiskanen  K.A.;145013;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;397;1940;1960;x
Hersalo;145014;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;398;1938;1960;x
Hägglund;145015;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;399;1930;1960;x
Ignatius;145016;FIN;1930;1930;1990;1990;2;7;522;2;0;5;0;400;1930;1941;x
Isakson;145017;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;401;1938;1960;x
Järvinen;145018;FIN;1940;1944;1990;1990;3;6;8;2;0;4;0;L9717;1940;1960;x
Kaila;145019;FIN;1930;1990;1990;1990;3;6;520;1;0;5;0;402;1930;1939;x
Kääriäinen;145020;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;403;1939;1960;x
Laatikainen;145021;FIN;1930;1930;1941;1990;1;7;12;3;0;4;0;404;1930;1960;x
Lagus;145022;FIN;1940;1990;1990;1990;3;8;136;1;0;4;0;405;1940;1960;x
Linder;145023;FIN;1930;1930;1940;1990;1;7;520;2;0;5;0;406;1930;1943;x
Malmberg;145024;FIN;1930;1930;1946;1990;1;5;0;2;0;5;0;407;1930;1960;x 
Wetzer;145025;FIN;1930;1930;1930;1990;1;7;514;2;0;5;0;408;1930;1944;x
Martola;145026;FIN;1930;1940;1944;1990;2;6;12;3;0;4;0;409;1930;1960;x
Melander;145027;FIN;1942;1990;1990;1990;3;4;4;1;0;4;0;410;1942;1960;x
Mäkinen;145028;FIN;1938;1941;1990;1990;3;6;8;2;0;4;0;L9727;1938;1960;x
Nenonen;145029;FIN;1930;1930;1930;1990;1;6;64;2;0;5;0;411;1930;1960;x
Oesch;145030;FIN;1930;1940;1990;1990;2;6;2;1;0;4;0;412;1930;1945;x
Oinonen;145031;FIN;1930;1990;1990;1990;3;5;40;1;0;4;0;413;1930;1960;x
Paalu;145032;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;414;1939;1960;x
Pajari;145033;FIN;1938;1990;1990;1990;3;7;24;1;0;4;0;415;1938;1947;x
Palmroth;145034;FIN;1930;1990;1990;1990;3;6;520;1;0;4;0;L9733;1930;1941;x
Palojärvi;145035;FIN;1941;1990;1990;1990;3;5;8;1;0;4;0;416;1941;1960;x
Raappana;145036;FIN;1938;1990;1990;1990;3;5;6;1;0;4;0;417;1938;1960;x
Roos;145037;FIN;1938;1990;1990;1990;3;5;1;1;0;5;0;L9736;1938;1960;x
Sihvo  A.;145038;FIN;1930;1930;1941;1990;1;6;2;2;0;4;0;418;1930;1960;x
Sihvo  J.;145039;FIN;1940;1947;1990;1990;2;6;8;2;0;4;0;419;1940;1960;x
Siilasvuo;145040;FIN;1930;1930;1990;1990;2;9;264;3;0;4;0;420;1930;1947;x
Snellman;145041;FIN;1930;1990;1990;1990;3;4;72;1;0;4;0;421;1930;1942;x
Sundman;145042;FIN;1930;1940;1944;1990;2;4;1;3;0;4;0;422;1930;1960;x
Svanström;145043;FIN;1930;1990;1990;1990;3;4;64;1;0;5;0;423;1930;1942;x
Svensson;145044;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;424;1939;1960;x
Talvela;145045;FIN;1930;1939;1941;1990;1;7;4;3;0;4;0;425;1930;1960;x
Tapola;145046;FIN;1930;1930;1941;1990;3;5;10;3;0;4;0;426;1930;1960;x
Tuompo;145047;FIN;1939;1941;1990;1990;2;6;4;2;0;4;0;427;1939;1960;x
Valve;145048;FIN;1930;1941;1990;1990;2;6;0;2;0;5;0;428;1930;1960;x
Vihma;145049;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;429;1930;1939;x
Viljanen;145050;FIN;1940;1990;1990;1990;3;5;0;1;0;4;0;430;1940;1942;x
von Mannerheim;145051;FIN;1930;1930;1930;1930;0;9;522;4;0;4;0;L9750;1930;1946;x
Walden;145052;FIN;1930;1930;1930;1990;1;5;0;2;0;5;0;431;1930;1946;x
Wallenius;145053;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;432;1930;1941;x
Wilkama;145054;FIN;1930;1930;1930;1990;1;5;514;2;0;5;0;433;1930;1944;x
Winell;145055;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;434;1939;1943;x
Öhquist;145056;FIN;1930;1930;1990;1990;2;6;520;1;0;4;0;435;1930;1960;x
Österman;145057;FIN;1930;1930;1990;1990;2;6;2;1;0;4;0;436;1930;1960;x
Arho;145058;FIN;1943;1948;1990;1990;2;5;0;2;0;5;1;L9757;1943;1960;x
Enkiö;145059;FIN;1938;1942;1990;1990;3;4;8192;2;0;5;1;L9758;1938;1960;x
Hakola;145060;FIN;1939;1944;1990;1990;3;5;0;2;0;5;1;L9759;1939;1960;x
Hörölä;145061;FIN;1930;1930;1990;1990;2;5;8192;2;0;5;1;M29148;1930;1941;x
Jülopova;145062;FIN;1930;1990;1990;1990;3;4;1024;1;0;5;1;L9761;1930;1943;x
Kivimäki;145063;FIN;1930;1930;1942;1990;2;5;0;2;0;5;1;L9762;1930;1960;x
Koivisto;145064;FIN;1939;1990;1990;1990;3;4;8192;1;0;5;1;L9763;1939;1960;x
Pakkala;145065;FIN;1943;1990;1990;1990;3;5;1024;2;0;5;1;L9764;1943;1960;x
Paukka;145066;FIN;1930;1990;1990;1990;3;4;1024;1;0;5;1;L9765;1930;1960;x
Rahola;145067;FIN;1938;1942;1990;1990;2;5;2048;2;0;4;1;L9766;1938;1960;x
Berg;145068;FIN;1939;1990;1990;1990;3;4;0;1;0;4;2;L9767;1939;1960;x
Bremer;145069;FIN;1942;1990;1990;1990;3;4;0;1;0;4;2;L9768;1942;1960;x
Eskola;145070;FIN;1930;1990;1990;1990;3;4;0;1;0;4;2;L9769;1930;1940;x
Gabrielsson;145071;FIN;1930;1990;1990;1990;3;5;0;1;0;5;2;L9770;1930;1960;x
Larjo;145072;FIN;1938;1990;1990;1990;3;4;0;1;0;4;2;L9771;1938;1960;x
Lorentz;145073;FIN;1938;1942;1990;1990;2;5;4096;2;0;4;2;437;1938;1960;x
Lundqvist;145074;FIN;1930;1930;1990;1990;2;6;0;1;0;4;2;L9773;1930;1960;x
Magnusson;145075;FIN;1937;1990;1990;1990;3;4;0;1;0;5;2;L9774;1937;1943;x
Opas;145076;FIN;1941;1990;1990;1990;3;5;0;1;0;5;2;L9775;1941;1960;x
Pajari;145077;FIN;1938;1990;1990;1990;3;4;8192;1;0;4;2;L9776;1938;1960;x
Sarko;145078;FIN;1930;1939;1943;1990;1;4;0;3;0;5;2;L9777;1930;1960;x
Siren;145079;FIN;1938;1990;1990;1990;3;4;0;1;0;4;2;L9778;1938;1960;x
Somerto;145080;FIN;1930;1930;1990;1990;2;5;0;1;0;4;2;L9779;1930;1960;x
Koskimies;145081;FIN;1939;1990;1990;1990;3;4;0;1;0;4;0;438;1930;1960;x
Kauppila;145082;FIN;1939;1990;1990;1990;3;4;0;1;0;4;0;439;1930;1960;x
Tiainen;145083;FIN;1939;1990;1990;1990;3;4;2;1;0;4;0;440;1930;1960;x
von Gerich;145084;FIN;1918;1932;1932;1932;3;5;8;2;0;5;0;8148;1918;1932;x
Mexmontan;145085;FIN;1918;1932;1932;1932;3;5;8;2;0;5;0;441;1918;1932;x
Theslöf;145086;FIN;1918;1932;1932;1932;3;5;8;2;0;5;0;442;1918;1932;x
Thesleff;145087;FIN;1918;1932;1932;1932;3;5;8;2;0;5;0;443;1918;1932;x
