Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ardant du Picq;5001;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;x
Arlabosse;5002;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;x
Armand;5003;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;x
Armingeat;5004;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;x
Arnaud;5005;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;x
Audet;5006;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;x
Aymé;5007;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;x
Barreau;5008;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;x
Bastien;5009;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;x
Beaumont;5010;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;x
Bertin-Boussus;5011;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;x
Bethouart;5012;FRA;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;x
Billotte;5013;FRA;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;x
Bingen;5014;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;x
Blanc;5015;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;x
Blanchard;5016;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;x
Blanchet;5017;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;x
Blaizot;5018;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;x
Bondis;5019;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;x
Bourges-Maunory;5020;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;x
Bridoux;5021;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;x
Brisac;5022;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;x
Brocard;5023;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;x
Brosset;5024;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;x
Bruneau;5025;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;x
Callies;5026;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;x
Camerini;5027;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;x
Carlès;5028;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;x
Carpentier;5029;FRA;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;x
Catroux;5030;FRA;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;x
Chaban-Delmas;5031;FRA;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;x
Chardigny;5032;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;x
Chevillon;5033;FRA;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;x
Collet;5034;FRA;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;x
Colson;5035;FRA;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;x
Condé;5036;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;x
Corap;5037;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;x
Cornille;5038;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;x
Crepin-Artu;5039;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;x
d'Arras;5040;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;x
d'Harcourt;5041;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;x
de Bazelaire de Ruppiere;5042;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;x
de Benouville;5043;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;x
de Corta;5044;FRA;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;x
de Cugis;5045;FRA;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;x
de Cyvoct;5046;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;x
de Gaulle;5047;FRA;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;x
de Guillebon;5048;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;x
de Hesdin;5049;FRA;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;x
