Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Archer;125001;IRE;1941;1990;1990;1990;3;3;4;0;0;5;0;L77000;1941;1960;x
Brennan;125002;IRE;1930;1930;1990;1990;2;5;516;1;0;5;0;L77001;1930;1942;x
Bryan;125003;IRE;1938;1942;1990;1990;2;4;2;1;0;5;0;L77002;1938;1946;x
Collins-Powell;125004;IRE;1930;1990;1990;1990;3;5;128;0;0;5;0;L77003;1930;1940;x
Costello;125005;IRE;1930;1939;1942;1990;1;5;0;2;0;5;0;L77004;1930;1960;x
Fitzemmett;125006;IRE;1930;1990;1990;1990;3;5;514;1;0;5;0;L77005;1930;1944;x
Fitzroy;125007;IRE;1939;1942;1990;1990;2;3;128;1;0;5;0;L77006;1942;1960;x
Flynn;125008;IRE;1945;1990;1990;1990;3;3;0;0;0;5;0;L77007;1945;1960;x
Hanrahan;125009;IRE;1930;1939;1990;1990;2;3;0;1;0;5;0;L77008;1930;1941;x
Kelly;125010;IRE;1940;1990;1990;1990;3;3;64;0;0;5;0;L77009;1940;1944;x
Killane;125011;IRE;1930;1930;1990;1990;2;3;2;1;0;5;0;L77010;1930;1939;x
Kinnane;125012;IRE;1939;1942;1990;1990;2;3;64;1;0;5;0;L77011;1939;1960;x
MacNeill;125013;IRE;1938;1942;1990;1990;2;5;0;1;0;5;0;L77012;1938;1946;x
McCabe;125014;IRE;1930;1990;1990;1990;3;3;0;0;0;5;0;L77013;1930;1939;x
McKenna;125015;IRE;1930;1943;1990;1990;2;4;16;1;0;5;0;L77014;1930;1947;x
McLaughlin;125016;IRE;1939;1990;1990;1990;3;3;0;0;0;5;0;L77015;1939;1946;x
McNally;125017;IRE;1930;1941;1990;1990;2;4;32;1;0;5;0;L77016;1930;1960;x
Moore;125018;IRE;1937;1943;1990;1990;2;3;0;1;0;5;0;L77017;1937;1947;x
Murphy;125019;IRE;1930;1930;1940;1990;1;3;2;2;0;5;0;L77018;1930;1945;x
O'Connor;125020;IRE;1930;1990;1990;1990;3;3;1;0;0;2;0;L77019;1930;1942;x
O'Duffy;125021;IRE;1930;1990;1990;1990;3;3;32;0;0;2;0;L77020;1930;1938;x
O'Sullivan;125022;IRE;1940;1946;1990;1990;3;4;0;1;0;5;0;L77021;1940;1960;x
Selia;125023;IRE;1938;1990;1990;1990;3;3;1;0;0;5;0;L77022;1938;1960;x
Staines;125024;IRE;1930;1990;1990;1990;3;3;0;0;0;5;0;L77023;1930;1940;x
Green;125025;IRE;1930;1930;1939;1990;1;3;0;1;0;5;1;L77024;1930;1946;x
Jerome;125026;IRE;1942;1990;1990;1990;3;3;0;0;0;5;1;L77025;1942;1960;x
Lawlor;125027;IRE;1944;1990;1990;1990;3;3;8192;0;0;5;1;L77026;1944;1960;x
McSweeney;125028;IRE;1943;1990;1990;1990;3;4;4096;0;0;5;1;L77027;1943;1960;x
O'Muiris;125029;IRE;1939;1990;1990;1990;3;3;1024;0;0;5;1;L77028;1939;1946;x
Preston;125030;IRE;1930;1939;1946;1990;2;5;0;2;0;5;1;L77029;1930;1960;x
Delamere;125031;IRE;1930;1990;1990;1990;3;3;0;0;0;5;2;L77030;1930;1943;x
McNally;125032;IRE;1944;1990;1990;1990;3;3;0;0;0;5;2;L77031;1944;1960;x
Mulcahy;125033;IRE;1938;1942;1990;1990;2;3;4096;1;0;5;2;L77032;1938;1947;x
O'Hara;125034;IRE;1943;1946;1990;1990;3;4;4096;1;0;5;2;L77033;1943;1960;x
O'Sullivan;125035;IRE;1939;1942;1990;1990;2;4;0;1;0;5;2;L77034;1939;1960;x
Quinn;125036;IRE;1937;1990;1990;1990;3;3;16384;0;0;5;2;L77035;1937;1944;x
Russell;125037;IRE;1940;1945;1990;1990;3;4;0;1;0;5;2;L77036;1940;1960;x
Lynch;125038;IRE;1912;1914;1932;1932;2;5;0;2;0;2;0;8147;1912;1932;x
Aiken;125039;IRE;1912;1914;1932;1932;2;5;0;2;0;2;0;unknown;1912;1932;x
Gerrard;125040;IRE;1914;1932;1932;1932;3;5;0;2;0;2;2;unknown;1914;1932;x
