Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Alonso;35001;SPA;1930;1990;1990;1990;3;4;1;0;0;5;0;L3400;1930;1938;x
Alonso Vega;35002;SPA;1930;1940;1945;1990;3;7;16;3;0;5;0;L3401;1930;1960;x
Álvarez Arenas;35003;SPA;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1945;x
Aranda Mata;35004;SPA;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1941;x
Arrese Magra;35005;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;x
Asensio Cabanillas;35006;SPA;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1960;x
Aznar Gerner;35007;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1940;x
Bautista Sanchéz;35008;SPA;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1960;x
Barrera;35009;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1938;x
Barrón Ortiz;35010;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1943;x
Barroso Sánchez-Guerra;35011;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1946;x
Beigbéder Atienza;35012;SPA;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1960;x
Benjumea;35013;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;x
Bergonzoli;35014;SPA;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1960;x
Cabanellas Ferrer;35015;SPA;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1938;x
Castejón Espinosa;35016;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1960;x
Cavalcanti;35017;SPA;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1960;x
Cuesta Monereo;35018;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3417;1930;1937;x
Dávila Arrondo;35019;SPA;1930;1937;1942;1990;2;5;0;2;0;5;0;L3418;1930;1960;x
de Rada;35020;SPA;1937;1990;1990;1990;3;5;16;0;0;5;0;L3419;1937;1940;x
de Borbon y de la Torre;35021;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3420;1930;1939;x
d'Harcourt;35022;SPA;1930;1990;1990;1990;3;4;2;0;0;4;0;L3421;1930;1939;x
El Mizzian;35023;SPA;1930;1990;1990;1990;3;5;4;1;0;4;0;L3422;1930;1939;x
Fanjul Goni;35024;SPA;1930;1990;1990;1990;3;5;32;0;0;5;0;L3423;1930;1937;x
Fernández Burriel;35025;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3424;1930;1937;x
Fernández Cuesta;35026;SPA;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1937;1960;x
Franco Bahamonde;35027;SPA;1930;1930;1930;1937;0;7;2;3;0;5;0;L3426;1930;1960;x
Gambara;35028;SPA;1930;1930;1990;1990;2;6;1;1;0;3;0;L3427;1930;1960;x
García Escámez;35029;SPA;1930;1939;1990;1990;3;5;4;1;0;5;0;L3428;1930;1946;x
García Gómez Caminero;35030;SPA;1937;1990;1990;1990;1;7;513;1;0;5;0;L3429;1937;1939;x
García Valiño;35031;SPA;1930;1938;1941;1947;2;8;16;3;0;5;0;L3430;1930;1960;x
Garciano Goñi;35032;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3431;1937;1939;x
Gil Yuste;35033;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3432;1930;1942;x
Goded Llopis;35034;SPA;1930;1930;1990;1990;2;5;0;1;0;5;0;L3433;1930;1937;x
Gómez Aspar;35035;SPA;1930;1990;1990;1990;3;5;1;0;0;5;0;L3434;1930;1938;x
Gómez-Jordana y Sousa;35036;SPA;1930;1939;1990;1990;3;5;0;1;0;5;0;L3435;1930;1944;x
Hedilla Larrey;35037;SPA;1930;1990;1990;1990;3;3;0;0;0;5;0;L3436;1930;1960;x
Infantes;35038;SPA;1930;1939;1990;1990;3;4;32;1;0;5;0;L3437;1930;1960;x
Lahuerta;35039;SPA;1930;1990;1990;1990;3;4;0;0;0;5;0;L3438;1930;1960;x
López-Pinto Berizo;35040;SPA;1930;1930;1940;1990;2;7;64;2;0;5;0;L3439;1930;1942;x
Martín Moreno;35041;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3440;1937;1960;x
Martínez Anido;35042;SPA;1930;1930;1930;1990;1;4;514;1;0;5;0;L3441;1930;1938;x
Millán Astray y Terreros;35043;SPA;1930;1930;1990;1990;2;6;784;1;0;5;0;L3442;1930;1960;x
Mola Vidal;35044;SPA;1930;1930;1930;1930;0;8;0;4;0;5;0;L3443;1930;1937;x
Monasterio Ituarte;35045;SPA;1930;1990;1990;1990;3;6;4;0;0;5;0;L3444;1930;1960;x
Moreno Calderón;35046;SPA;1930;1990;1990;1990;3;4;0;0;0;5;0;L3445;1930;1960;x
Moreno Martín;35047;SPA;1930;1930;1990;1990;2;5;0;0;0;5;0;L3446;1930;1938;x
Moscardó Ituarte;35048;SPA;1930;1939;1941;1990;3;6;0;2;0;5;0;L3447;1939;1960;x
Muñoz Grandes;35049;SPA;1937;1940;1943;1946;2;8;12;3;0;5;0;L3448;1937;1960;x
Orgaz Yoldi;35050;SPA;1930;1930;1942;1990;2;5;0;2;0;3;0;L3449;1930;1946;x
Ortiz de Zárate López;35051;SPA;1930;1990;1990;1990;3;4;32;0;0;5;0;L3450;1930;1937;x
Queipo de Llano y Sierra;35052;SPA;1930;1930;1930;1990;1;8;16;2;0;4;0;L3451;1930;1960;x
Redondo Ortega;35053;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3452;1930;1937;x
Ridruejo;35054;SPA;1938;1990;1990;1990;3;3;0;0;0;5;0;L3453;1938;1960;x
Ríos Capapé;35055;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3454;1937;1960;x
Roatta;35056;SPA;1930;1930;1990;1990;2;6;0;2;0;3;0;L3455;1930;1960;x
Sáenz de Buruaga;35057;SPA;1930;1941;1990;1990;3;5;128;1;0;5;0;L3456;1930;1960;x
Saliquet Zumeta;35058;SPA;1930;1930;1938;1990;2;5;0;1;0;5;0;L3457;1930;1943;x
Sancho Dávila;35059;SPA;1938;1990;1990;1990;3;3;0;0;0;4;0;L3458;1938;1960;x
Solchaga Zala;35060;SPA;1937;1941;1990;1990;3;6;0;1;0;4;0;L3459;1937;1960;x
Sanjurjo Sacanell;35061;SPA;1930;1930;1930;1930;0;7;513;2;0;5;0;L3460;1930;1937;x
Tella;35062;SPA;1930;1990;1990;1990;3;7;256;1;0;5;0;L3461;1930;1939;x
Ungría Jimenéz;35063;SPA;1938;1942;1990;1990;3;5;128;1;0;5;0;L3462;1938;1960;x
Valdés Cavanilles;35064;SPA;1930;1930;1930;1990;1;4;514;1;0;5;0;L3463;1930;1938;x
Varela Iglesias;35065;SPA;1930;1938;1943;1990;2;7;4;2;0;4;0;L3464;1930;1960;x
Vigón Suerodíaz;35066;SPA;1930;1940;1990;1990;3;5;4;1;0;5;0;L3465;1930;1960;x
Volkmann (GER);35067;SPA;1930;1930;1930;1990;1;7;4;2;0;3;0;L3466;1930;1960;x
Yagüe Blanco;35068;SPA;1930;1930;1942;1990;2;8;4;3;0;5;0;L3467;1930;1960;x
Agacino Armas;35069;SPA;1930;1939;1990;1990;3;4;2048;1;0;5;1;L3468;1930;1960;x
Barreda Terry;35070;SPA;1930;1990;1990;1990;3;4;1024;0;0;5;1;L3469;1930;1937;x
Carrero Blanco;35071;SPA;1943;1944;1946;1990;2;6;0;2;0;5;1;L3470;1943;1960;x
