Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adolph;720001;OTT;1938;1990;1990;1990;3;4;516;1;0;5;0;L549000;1938;1944;x
al-Husseini;720002;OTT;1941;1990;1990;1990;3;3;256;0;0;5;0;L549001;1941;1960;x
Arnold;720003;OTT;1938;1990;1990;1990;3;3;0;0;0;5;0;L549002;1938;1945;x
Aschenbrandt;720004;OTT;1939;1990;1990;1990;3;4;2;0;0;5;0;L549003;1939;1960;x
Avni;720005;OTT;1930;1930;1930;1990;1;4;514;1;0;5;0;M549014;1930;1943;x
Barends;720006;OTT;1941;1990;1990;1990;3;4;0;0;0;5;0;L549005;1941;1960;x
Bartcky;720007;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549006;1940;1944;x
Barton;720008;OTT;1941;1990;1990;1990;3;3;4;0;0;5;0;L549007;1941;1960;x
Bilharz;720009;OTT;1939;1990;1990;1990;3;3;256;0;0;5;0;L549008;1939;1960;x
Binark;720010;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549009;1938;1960;x
Bonatz;720011;OTT;1941;1990;1990;1990;3;4;128;0;0;5;0;L549010;1941;1960;x
Borowski;720012;OTT;1941;1990;1990;1990;3;3;1;0;0;5;0;L549011;1941;1960;x
Brauer;720013;OTT;1938;1990;1990;1990;3;6;576;1;0;5;0;L549012;1938;1944;x
Braumüller;720014;OTT;1941;1990;1990;1990;3;4;16;0;0;5;0;L549013;1941;1960;x
Brugsch;720015;OTT;1930;1990;1990;1990;3;3;32;0;0;5;0;L549014;1930;1960;x
Buch;720016;OTT;1940;1940;1990;1990;2;2;0;0;0;5;0;L549015;1940;1960;x
Burchard;720017;OTT;1939;1942;1944;1990;1;5;64;3;0;5;0;L549016;1939;1946;x
Cetinok;720018;OTT;1939;1990;1990;1990;3;4;24;0;0;5;0;L549017;1939;1960;x
Conradi;720019;OTT;1939;1990;1990;1990;3;4;4;0;0;5;0;L549018;1939;1960;x
Eckhardt;720020;OTT;1940;1990;1990;1990;3;3;2;0;0;5;0;L549019;1940;1960;x
Edhem;720021;OTT;1930;1940;1990;1990;3;3;0;1;0;5;0;L549020;1930;1960;x
Ehrenberg;720022;OTT;1940;1990;1990;1990;3;4;16;0;0;5;0;L549021;1940;1945;x
Enver;720023;OTT;1930;1930;1930;1990;1;4;0;2;0;5;0;L549022;1930;1943;x
