Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Afkhami  A.;150001;PER;1930;1930;1930;1990;1;3;514;1;0;5;0;L440000;1930;1941;x
Afkhami  H.;150002;PER;1939;1990;1990;1990;3;3;2;0;0;4;0;L440001;1939;1942;x
Afkhami  M.;150003;PER;1930;1939;1990;1990;2;4;4;1;0;4;0;L440002;1930;1941;x
Gharamani;150004;PER;1942;1946;1990;1990;3;4;4;1;0;5;0;L440003;1942;1960;x
Gholam Reza Pahlavi;150005;PER;1930;1939;1940;1941;1;3;4;2;0;5;0;L440004;1930;1960;x
Gilanshah;150006;PER;1940;1945;1990;1990;2;4;4;1;0;5;0;L440005;1940;1960;x
Hadi Atabay;150007;PER;1930;1990;1990;1990;3;4;514;1;0;5;0;L440006;1930;1938;x
Hossein Firooz;150008;PER;1938;1941;1943;1990;1;4;32;2;0;5;0;L440007;1938;1960;x
Majid Firooz;150009;PER;1930;1938;1990;1990;2;4;2;1;0;5;0;L440008;1930;1942;x
Khan Koopal;150010;PER;1939;1941;1990;1990;2;3;0;1;0;5;0;L440009;1939;1946;x
Khan Nakziam;150011;PER;1943;1990;1990;1990;3;4;256;0;0;5;0;L440010;1943;1960;x
Mir Ghani;150012;PER;1930;1930;1990;1990;2;3;32;0;0;5;0;L440011;1930;1941;x
Mizani;150013;PER;1944;1990;1990;1990;3;4;0;0;0;5;0;L440012;1944;1960;x
Nakhjavani;150014;PER;1930;1937;1990;1990;2;4;128;1;0;5;0;L440013;1930;1941;x
Nizamshah;150015;PER;1930;1930;1990;1990;2;6;514;1;0;5;0;L440014;1930;1940;x
Quaranshah;150016;PER;1941;1943;1990;1990;2;3;1;1;0;5;0;L440015;1941;1960;x
Reza Pahlavi;150017;PER;1930;1930;1930;1930;0;6;514;3;0;5;0;L440016;1930;1941;x
Sepahbodi Qajar;150018;PER;1942;1944;1990;1990;3;4;1;1;0;5;0;L440017;1942;1960;x
Zahedi;150019;PER;1939;1942;1944;1990;1;4;1;2;0;5;0;L440018;1939;1960;x
Ahmanpur;150020;PER;1939;1942;1945;1990;2;4;0;2;0;5;1;L440019;1939;1960;x
Akbarpour;150021;PER;1944;1990;1990;1990;3;3;1024;0;0;5;1;L440020;1944;1960;x
Khan Nakhjavan;150022;PER;1930;1930;1942;1990;1;4;0;1;0;5;1;L440021;1930;1946;x
Khisrabadi;150023;PER;1930;1939;1990;1990;2;3;0;1;0;5;1;L440022;1930;1941;x
Khosravani;150024;PER;1945;1990;1990;1990;3;4;4096;0;0;5;1;L440023;1945;1960;x
Mizani;150025;PER;1944;1990;1990;1990;3;4;0;0;0;5;1;L440024;1944;1960;x
Mohanna;150026;PER;1939;1943;1990;1990;3;4;0;1;0;5;1;L440025;1939;1947;x
Quaranshah;150027;PER;1941;1943;1990;1990;2;3;0;1;0;5;1;L440026;1941;1960;x
Gilanshah;150028;PER;1940;1945;1990;1990;3;4;32768;1;0;5;2;L440027;1940;1960;x
Khan Koopal;150029;PER;1939;1941;1990;1990;2;3;0;1;0;5;2;L440028;1939;1946;x
Khan Nakhjavan;150030;PER;1930;1930;1942;1990;1;4;0;1;0;5;2;L440029;1930;1946;x
Khosravani;150031;PER;1945;1990;1990;1990;3;4;4096;0;0;5;2;L440030;1945;1960;x
Mohanna;150032;PER;1939;1943;1990;1990;3;4;0;1;0;5;2;L440031;1939;1947;x
Moini;150033;PER;1943;1990;1990;1990;3;3;0;0;0;5;2;L440032;1943;1960;x
Nakhjavani;150034;PER;1930;1937;1990;1990;2;3;0;1;0;5;2;L440033;1930;1941;x
Sepahpour;150035;PER;1945;1990;1990;1990;3;3;0;0;0;5;2;L440034;1945;1960;x
Noodin;150036;PER;1930;1930;1990;1990;2;3;514;1;0;5;0;L440035;1930;1939;x
Ghoolam Firooz;150037;PER;1930;1930;1990;1990;2;2;0;0;0;5;0;L440036;1930;1942;x
Baypour;150038;PER;1930;1930;1939;1990;2;3;128;1;0;5;0;L440037;1930;1942;x
Nizampour;150039;PER;1930;1930;1939;1990;1;4;514;1;0;5;0;L440038;1930;1943;x
Mirghoolam;150040;PER;1930;1990;1990;1990;3;4;576;1;0;5;0;L440039;1930;1941;x
Tahakhami;150041;PER;1930;1939;1990;1990;3;3;131072;1;0;4;2;L440040;1930;1943;x
Razmara;150042;PER;1945;1947;1950;1960;1;5;16384;2;0;5;2;M53114;1945;1960;x
Reza Khan;150043;PER;1914;1918;1932;1932;2;5;0;3;0;5;0;1012;1914;1932;x
Salat ed-Dauleh;150044;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1013;1908;1932;x
Azod Soltan Mirza;150045;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1014;1908;1932;x
Malek Mansour Mirza;150046;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1015;1908;1932;x
Mohammad Hassan Mirza;150047;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1016;1908;1932;x
