Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aldea;110001;ROM;1930;1939;1944;1990;1;5;0;3;0;4;0;L4300;1930;1960;x
Alexiu;110002;ROM;1941;1944;1990;1990;3;5;66;2;0;4;0;L4301;1941;1960;x
Antonescu  I.A.;110003;ROM;1930;1990;1990;1990;3;4;0;1;0;3;0;L4302;1930;1960;x
Antonescu  I.V.;110004;ROM;1930;1930;1937;1939;0;7;0;4;0;3;0;L4303;1930;1960;x
Antonescu  P.;110005;ROM;1941;1990;1990;1990;3;4;64;1;0;4;0;L4304;1941;1945;x
Argeseanu;110006;ROM;1930;1930;1939;1990;2;5;0;2;0;3;0;L4305;1930;1940;x
Argetoianu;110007;ROM;1946;1990;1990;1990;3;4;0;1;0;4;0;L4306;1946;1960;x
Avramescu;110008;ROM;1937;1942;1944;1990;2;6;4;3;0;4;0;L4307;1937;1960;x
Badescu;110009;ROM;1944;1990;1990;1990;3;4;0;1;0;4;0;L4308;1944;1947;x
Baldescu;110010;ROM;1938;1941;1945;1990;2;5;0;3;0;4;0;L4309;1938;1947;x
Bardan;110011;ROM;1941;1943;1990;1990;3;6;0;2;0;4;0;L4310;1941;1947;x
Boiteanu;110012;ROM;1941;1943;1944;1990;2;5;4;3;0;4;0;L4311;1941;1946;x
Bratescu;110013;ROM;1940;1990;1990;1990;3;4;0;1;0;4;0;L4312;1940;1960;x
Bucliu;110014;ROM;1945;1990;1990;1990;3;4;0;1;0;2;0;L4313;1945;1960;x
Calotescu;110015;ROM;1940;1943;1990;1990;2;4;0;2;0;4;0;L4314;1940;1945;x
Caracas;110016;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4315;1941;1945;x
Carlaont;110017;ROM;1941;1944;1990;1990;3;4;0;2;0;4;0;L4316;1941;1945;x
Ceausu;110018;ROM;1939;1990;1990;1990;3;5;64;1;0;4;0;L4317;1939;1947;x
Chirnoaga;110019;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4318;1941;1960;x
Cial�k;110020;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4319;1941;1945;x
Ciuperca;110021;ROM;1930;1930;1938;1990;1;6;0;2;0;4;0;L4320;1930;1941;x
Codreanu  I.;110022;ROM;1930;1941;1990;1990;2;4;516;2;0;2;0;L4321;1930;1947;x
Constantinescu-Claps;110023;ROM;1930;1930;1930;1990;1;7;2;2;0;4;0;L4322;1930;1943;x
Cosma;110024;ROM;1941;1943;1990;1990;2;6;96;2;0;4;0;L4323;1941;1960;x
Dascalescu;110025;ROM;1936;1940;1942;1990;1;6;0;3;0;4;0;L4324;1936;1945;x
