Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abdul al Saud;295001;SAU;1930;1930;1930;1930;0;2;1;0;0;5;0;L290000;1930;1960;x
al Jaballah;295002;SAU;1930;1990;1990;1990;3;3;16;0;0;5;0;L290001;1930;1944;x
Blimp-Worthington;295003;SAU;1941;1943;1990;1990;2;4;4;1;0;5;0;L290002;1941;1946;x
Campbell-Rice;295004;SAU;1930;1990;1990;1990;3;5;576;1;0;5;0;L290003;1930;1939;x
Cole;295005;SAU;1930;1990;1990;1990;3;4;0;0;0;5;0;L290004;1930;1941;x
Cromwell;295006;SAU;1945;1990;1990;1990;3;5;4;0;0;5;0;L290005;1945;1960;x
Faisal al Saud;295007;SAU;1930;1930;1990;1990;2;2;1;0;0;5;0;L290006;1930;1960;x
Hamdi;295008;SAU;1930;1930;1990;1990;2;4;514;1;0;5;0;L290007;1930;1941;x
Jameel;295009;SAU;1939;1942;1945;1990;2;3;1;2;0;5;0;L290008;1939;1960;x
Kemal;295010;SAU;1942;1944;1990;1990;2;3;0;1;0;5;0;L290009;1942;1960;x
Khalid al Saud;295011;SAU;1944;1990;1990;1990;3;2;1;0;0;5;0;L290010;1944;1960;x
Lethbridge-Stewart;295012;SAU;1941;1990;1990;1990;3;4;256;1;0;5;0;L290011;1941;1946;x
Lidsey;295013;SAU;1930;1990;1990;1990;3;5;16;0;0;5;0;L290012;1930;1942;x
McCrae;295014;SAU;1940;1990;1990;1990;3;4;2;0;0;5;0;L290013;1940;1946;x
McNicoll;295015;SAU;1930;1990;1990;1990;3;4;0;0;0;5;0;L290014;1930;1939;x
Power-Carne;295016;SAU;1940;1990;1990;1990;3;4;32;0;0;5;0;L290015;1940;1946;x
Rafi Reiss;295017;SAU;1943;1990;1990;1990;3;4;256;0;0;5;0;L290016;1943;1960;x
Saleem;295018;SAU;1930;1941;1944;1990;2;4;64;1;0;5;0;L290017;1930;1945;x
Saud al Saud;295019;SAU;1930;1930;1930;1990;1;2;1;0;0;5;0;L290018;1930;1960;x
Shaikh;295020;SAU;1944;1946;1990;1990;3;3;0;1;0;5;0;L290019;1944;1960;x
Shaw;295021;SAU;1930;1930;1990;1990;2;4;2;1;0;5;0;L290020;1930;1940;x
Smythe-Cooper;295022;SAU;1940;1990;1990;1990;3;4;128;0;0;5;0;L290021;1940;1946;x
Waterhouse;295023;SAU;1930;1990;1990;1990;3;4;2;0;0;5;0;L290022;1930;1939;x
Coste;295024;SAU;1943;1990;1990;1990;3;4;0;0;0;5;1;L290023;1943;1960;x
Dowling;295025;SAU;1942;1990;1990;1990;3;4;0;0;0;5;1;L290024;1942;1946;x
Fuller-Humphreys;295026;SAU;1942;1990;1990;1990;3;4;1024;0;0;5;1;L290025;1942;1946;x
Fullerton;295027;SAU;1930;1930;1930;1990;1;4;0;0;0;5;1;L290026;1930;1960;x
Gordon-Lee;295028;SAU;1939;1941;1990;1990;2;4;0;1;0;5;1;L290027;1939;1960;x
Jameel;295029;SAU;1939;1942;1990;1990;2;2;0;1;0;5;1;L290028;1939;1960;x
Abu Khadar;295030;SAU;1930;1990;1990;1990;3;2;0;0;0;5;2;L290029;1930;1942;x
Dawkins;295031;SAU;1943;1990;1990;1990;3;4;0;0;0;5;2;L290030;1943;1960;x
Eaton;295032;SAU;1940;1942;1990;1990;2;4;16384;1;0;5;2;L290031;1940;1946;x
Fullerton;295033;SAU;1930;1930;1990;1990;2;3;131072;0;0;5;2;L290032;1930;1960;x
Shaikh;295034;SAU;1944;1946;1990;1990;3;3;0;1;0;5;2;L290033;1944;1960;x
Abdul Aziz Al Saud;295035;SAU;1908;1990;1990;1990;1;4;0;0;0;5;0;M63001;1908;1932;x
Abdul-Rahman bin Faisal;295036;SAU;1908;1990;1990;1990;1;4;0;1;0;5;0;6319;1908;1932;x
Muhammad bin Abd al-Rahman;295037;SAU;1908;1990;1990;1990;3;2;0;0;0;5;0;6320;1908;1932;x
