Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Balfour;760001;SCO;1930;1941;1990;1990;2;5;0;1;0;5;0;L1018;1930;1944;x
Bruce;760002;SCO;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;x
Burns;760003;SCO;1940;1990;1990;1990;3;5;64;1;0;5;0;L1057;1940;1960;x
Campbell  A.D.;760004;SCO;1943;1990;1990;1990;3;5;32;1;0;5;0;L1061;1943;1960;x
Campbell of Achalader;760005;SCO;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;x
Campbell of Airds;760006;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1063;1941;1945;x
Campbell  J.;760007;SCO;1938;1990;1990;1990;3;5;128;1;0;5;0;L1064;1938;1942;x
Cameron;760008;SCO;1942;1944;1990;1990;3;5;2;2;0;5;0;L1065;1942;1960;x
Dickinson;760009;SCO;1930;1990;1990;1990;3;5;544;1;0;5;0;L1104;1930;1944;x
Dobie;760010;SCO;1943;1990;1990;1990;3;5;256;1;0;5;0;L1107;1943;1960;x
Duncan;760011;SCO;1943;1990;1990;1990;3;5;128;1;0;5;0;L1112;1943;1960;x
Fergusson;760012;SCO;1938;1990;1990;1990;3;5;1;1;0;5;0;L1118;1938;1943;x
Fitzpatrick;760013;SCO;1930;1941;1946;1990;2;5;2;3;0;5;0;L1122;1930;1960;x
Franklyn;760014;SCO;1930;1938;1990;1990;2;5;2;1;0;5;0;L1127;1930;1960;x
Gray;760015;SCO;1945;1990;1990;1990;3;6;4;1;0;5;0;L1146;1945;1960;x
Hackett;760016;SCO;1943;1946;1990;1990;3;6;256;2;0;5;0;L1150;1943;1960;x
Hakewill-Smith;760017;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1152;1941;1960;x
Ismay;760018;SCO;1939;1942;1944;1990;2;8;2;2;0;5;0;L1176;1939;1960;x
Kavanagh;760019;SCO;1930;1930;1990;1990;2;5;513;1;0;5;0;L1178;1930;1944;x
Kirke;760020;SCO;1930;1930;1930;1990;1;5;576;1;0;5;0;L1181;1930;1942;x
Macdonald;760021;SCO;1930;1990;1990;1990;3;5;513;1;0;5;0;L1203;1930;1943;x
MacFarlane;760022;SCO;1939;1942;1990;1990;2;4;0;2;0;5;0;L1204;1939;1945;x
MacKenzie  C.J.;760023;SCO;1930;1990;1990;1990;3;5;256;1;0;5;0;L1205;1930;1940;x
MacKenzie  D.A.L.;760024;SCO;1943;1990;1990;1990;3;5;0;1;0;5;0;L1206;1943;1960;x
MacMillan;760025;SCO;1941;1943;1990;1990;3;6;0;2;0;5;0;L1208;1941;1960;x
Mansergh;760026;SCO;1940;1943;1990;1990;3;7;5;2;0;5;0;L1211;1940;1960;x
McCardie;760027;SCO;1940;1990;1990;1990;3;5;4;1;0;5;0;L1215;1940;1945;x
McCreery;760028;SCO;1941;1943;1947;1990;2;7;128;3;0;5;0;L1216;1941;1960;x
McCulloch;760029;SCO;1930;1990;1990;1990;3;5;546;1;0;5;0;L1217;1930;1943;x
McLeod;760030;SCO;1944;1990;1990;1990;3;7;256;1;0;5;0;L1218;1944;1960;x
Morrison of Dunrossil;760031;SCO;1939;1941;1990;1990;2;5;4;2;0;5;0;L1228;1939;1960;x
Newth;760032;SCO;1930;1990;1990;1990;3;5;0;1;0;5;0;L1234;1930;1942;x
Norrie;760033;SCO;1930;1941;1990;1990;2;6;128;2;0;5;0;L1223;1930;1944;x
Rennie;760034;SCO;1942;1990;1990;1990;3;7;4;2;0;5;0;L1262;1942;1945;x
Russell;760035;SCO;1940;1943;1990;1990;2;5;0;2;0;5;0;L1271;1940;1960;x
Scobie;760036;SCO;1940;1942;1990;1990;2;5;0;2;0;5;0;L1277;1940;1960;x
Scoones;760037;SCO;1940;1942;1946;1990;2;7;1;3;0;5;0;L1278;1940;1960;x
Soames;760038;SCO;1930;1942;1990;1990;2;5;0;2;0;5;0;L1283;1930;1947;x
St.Clair-Morford;760039;SCO;1930;1990;1990;1990;3;5;768;1;0;5;0;L1287;1930;1943;x
Sturges;760040;SCO;1940;1943;1990;1990;2;8;256;2;0;5;0;L1292;1940;1946;x
Templer;760041;SCO;1940;1942;1945;1990;2;7;257;3;0;5;0;L1294;1940;1960;x
Toye;760042;SCO;1943;1947;1990;1990;3;6;256;2;0;5;0;L1298;1943;1960;x
Urquhart;760043;SCO;1943;1990;1990;1990;3;7;256;2;0;5;0;L1300;1943;1960;x
Utterson-Kelso;760044;SCO;1941;1990;1990;1990;3;5;0;1;0;5;0;L1301;1941;1960;x
Walwyn;760045;SCO;1936;1939;1990;1990;2;5;528;1;0;5;0;L1307;1936;1943;x
Agnew;760046;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1318;1940;1943;x
Balfour-Stephens;760047;SCO;1943;1990;1990;1990;3;5;0;1;0;5;1;L1321;1943;1960;x
Boyd;760048;SCO;1930;1942;1990;1990;3;5;2048;2;0;5;1;L1326;1930;1960;x
Boyle of Cork and Orrey;760049;SCO;1930;1930;1930;1937;0;5;0;3;0;5;1;L1327;1930;1943;x
Bruce-Fraser;760050;SCO;1930;1990;1990;1990;3;6;2048;1;0;5;1;L1328;1930;1941;x
Fraser;760051;SCO;1939;1940;1942;1947;1;7;0;4;0;5;1;L1348;1939;1960;x
Gretton;760052;SCO;1938;1944;1990;1990;3;6;0;2;0;5;1;L1350;1938;1960;x
Ingram;760053;SCO;1930;1990;1990;1990;3;5;1024;1;0;5;1;L1358;1930;1943;x
Jarvis;760054;SCO;1937;1943;1990;1990;2;5;0;2;0;5;1;L1360;1937;1960;x
Layton;760055;SCO;1930;1930;1990;1990;2;6;8192;2;0;5;1;L1364;1930;1942;x
Makeig-Jones;760056;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1368;1940;1960;x
Murry;760057;SCO;1943;1990;1990;1990;3;5;0;1;0;5;1;L1374;1943;1960;x
Palliser;760058;SCO;1930;1990;1990;1990;3;6;0;1;0;5;1;L1377;1930;1960;x
Stokes;760059;SCO;1941;1990;1990;1990;3;5;0;1;0;5;1;L1391;1941;1960;x
Syfret;760060;SCO;1930;1942;1944;1990;2;7;8704;3;0;5;1;L1393;1930;1960;x
Vian;760061;SCO;1940;1942;1944;1990;3;8;4096;3;0;5;1;L1399;1940;1960;x
Whitby;760062;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1405;1940;1960;x
Bennett;760063;SCO;1942;1990;1990;1990;3;7;0;3;0;5;1;L1413;1942;1960;x
Boyd;760064;SCO;1930;1940;1990;1990;2;5;16896;2;0;5;2;L1418;1930;1946;x
Bryan;760065;SCO;1941;1990;1990;1990;3;5;0;1;0;5;2;L1424;1941;1945;x
Collishaw;760066;SCO;1930;1943;1990;1990;2;5;16384;2;0;5;2;L1430;1930;1943;x
Embry;760067;SCO;1944;1947;1990;1990;3;7;86016;2;0;5;2;L1437;1944;1960;x
Gill;760068;SCO;1942;1990;1990;1990;3;7;4096;1;0;5;2;L1491;1942;1960;x
Gordon-Finlayson;760069;SCO;1940;1943;1990;1990;2;6;16384;2;0;5;2;L1442;1940;1947;x
Grist;760070;SCO;1943;1990;1990;1990;3;5;0;1;0;5;2;L1445;1943;1960;x
Innes;760071;SCO;1930;1990;1990;1990;3;5;0;1;0;5;2;L1449;1930;1942;x
Ivelaw-Chapman;760072;SCO;1943;1946;1990;1990;3;6;0;2;0;5;2;L1450;1943;1960;x
Keene;760073;SCO;1930;1944;1990;1990;3;5;131072;2;0;5;2;L1453;1930;1960;x
Kirkbride;760074;SCO;1941;1946;1990;1990;3;6;16384;2;0;5;2;L1454;1941;1960;x
Leckie;760075;SCO;1942;1990;1990;1990;3;6;4608;1;0;5;2;L1455;1942;1960;x
MacDonald;760076;SCO;1943;1946;1990;1990;3;6;0;2;0;5;2;L1459;1943;1960;x
MacLean;760077;SCO;1939;1990;1990;1990;3;6;0;1;0;5;2;L1460;1939;1944;x
McEwen;760078;SCO;1930;1930;1990;1990;2;5;65536;1;0;5;2;L1462;1930;1942;x
Murry;760079;SCO;1943;1990;1990;1990;3;6;131072;1;0;5;2;L1464;1943;1960;x
Regan;760080;SCO;1939;1990;1990;1990;3;5;131072;1;0;5;2;L1472;1939;1942;x
Sholto-Douglas;760081;SCO;1930;1940;1942;1946;1;9;0;4;0;5;2;L1479;1930;1960;x
Wann;760082;SCO;1942;1990;1990;1990;3;5;0;1;0;5;2;L1485;1942;1960;x
Dowding;760083;SCO;1930;1930;1930;1930;0;9;4096;3;0;5;2;L1435;1930;1960;x
