Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Agosti;750001;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508000;1943;1960;x
Agostini;750002;RSI;1943;1990;1990;1990;3;3;16;0;0;5;0;L508001;1943;1960;x
Albera;750003;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508002;1943;1960;x
Arioli;750004;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508003;1943;1960;x
Bader;750005;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508004;1943;1960;x
Babel;750006;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508005;1943;1960;x
Barde;750007;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508006;1943;1960;x
Betzel;750008;RSI;1943;1945;1990;1990;2;5;2;1;0;5;0;L508007;1943;1960;x
Borghese;750009;RSI;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;x
Bortolotto;750010;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508009;1943;1960;x
Breithaupt;750011;RSI;1942;1990;1990;1990;3;4;64;0;0;5;0;L508010;1942;1947;x
Brufani;750012;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508011;1943;1960;x
Bruno;750013;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;x
Calzolari;750014;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1943;1960;x
Carloni;750015;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508014;1943;1960;x
Carsiviglia;750016;RSI;1943;1990;1990;1990;3;5;256;0;0;5;0;L508015;1943;1960;x
Crimi;750017;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;x
D'Oro;750018;RSI;1930;1990;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;x
de Cia;750019;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;x
del Giudice;750020;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;x
Dürrstein;750021;RSI;1943;1990;1990;1990;3;3;0;1;0;5;0;L508020;1943;1960;x
Esposito;750022;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;x
Fanfani;750023;RSI;1943;1990;1990;1990;3;6;256;1;0;5;0;L508022;1943;1960;x
Farina;750024;RSI;1944;1945;1990;1990;3;4;0;1;0;5;0;L508023;1944;1960;x
Filippani Ronconi;750025;RSI;1944;1990;1990;1990;3;5;4;0;0;5;0;L508024;1944;1960;x
Gambara;750026;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;x
Giugni;750027;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508026;1943;1960;x
Gonell;750028;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508027;1943;1960;x
Graziani;750029;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;x
Heisig;750030;RSI;1943;1990;1990;1990;3;4;32;0;0;5;0;L508029;1943;1960;x
Heldmann;750031;RSI;1939;1990;1990;1990;3;5;4;0;0;5;0;L508030;1939;1960;x
