Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bangerskis;545001;UKR;1930;1930;1990;1990;2;3;513;1;0;5;0;L518000;1930;1960;x
Bergmann;545002;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518001;1930;1960;x
Bezruchko;545003;UKR;1930;1939;1990;1990;2;3;8;1;0;5;0;L518002;1930;1960;x
Blagoveschenski;545004;UKR;1930;1990;1990;1990;3;2;4;1;0;5;0;L518003;1930;1960;x
Bogdanov;545005;UKR;1930;1990;1990;1990;3;5;16;0;0;5;0;L518004;1930;1960;x
Borowietz;545006;UKR;1930;1942;1990;1990;2;4;0;1;0;5;0;L518005;1930;1960;x
Boyarski;545007;UKR;1930;1990;1990;1990;3;3;64;0;0;5;0;L518006;1930;1960;x
Breithaupt;545008;UKR;1930;1930;1940;1990;2;4;0;1;0;5;0;L518007;1930;1960;x
Bunjatschenko;545009;UKR;1930;1938;1990;1990;2;3;0;1;0;5;0;L518008;1930;1960;x
Drescher;545010;UKR;1930;1943;1990;1990;3;3;1;1;0;5;0;L518009;1930;1960;x
Duda;545011;UKR;1930;1990;1990;1990;3;2;16;0;0;5;0;M518057;1930;1960;x
Eckhardt;545012;UKR;1930;1942;1990;1990;3;4;1;1;0;5;0;L518011;1930;1960;x
Falley;545013;UKR;1930;1943;1990;1990;3;3;32;1;0;5;0;L518012;1930;1960;x
Fischer;545014;UKR;1930;1990;1990;1990;3;3;32;0;0;5;0;L518013;1930;1960;x
Frank;545015;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518014;1930;1960;x
Gall;545016;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518015;1930;1960;x
Geiger;545017;UKR;1930;1944;1990;1990;3;3;128;1;0;5;0;L518016;1930;1960;x
Gerok;545018;UKR;1930;1943;1990;1990;3;3;4;0;0;5;0;L518017;1930;1960;x
Golovnev;545019;UKR;1930;1930;1943;1990;2;4;0;1;0;5;0;M518007;1930;1960;x
Heistermann von Ziehlberg;545020;UKR;1930;1943;1990;1990;2;3;0;1;0;5;0;L518019;1930;1960;x
Jost;545021;UKR;1930;1945;1990;1990;3;3;64;1;0;5;0;L518020;1930;1960;x
Kinzel;545022;UKR;1930;1939;1944;1990;2;5;2;2;0;5;0;M518061;1930;1960;x
Keilhaus;545023;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518022;1930;1960;x
Korbukov;545024;UKR;1930;1990;1990;1990;3;3;128;0;0;5;0;L518023;1930;1960;x
Krasnov;545025;UKR;1930;1930;1930;1990;1;4;517;1;0;5;0;M518066;1930;1960;x
Kromiadi;545026;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;M518060;1930;1960;x
Kruschev;545027;UKR;1930;1930;1990;1990;2;2;0;0;0;5;0;M518062;1930;1960;x
Källner;545028;UKR;1930;1942;1990;1990;3;3;1;1;0;5;0;L518027;1930;1960;x
Leikov;545029;UKR;1930;1990;1990;1990;3;4;128;0;0;5;0;L518028;1930;1960;x
Lorenz;545030;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518029;1930;1960;x
Malyschkin;545031;UKR;1930;1941;1990;1990;2;4;1;1;0;5;0;L518030;1930;1960;x
Meandrov;545032;UKR;1930;1990;1990;1990;3;2;1;0;0;5;0;L518031;1930;1960;x
Melnik;545033;UKR;1930;1990;1990;1990;3;2;8;0;0;5;0;L518032;1930;1960;x
Osmak;545034;UKR;1930;1990;1990;1990;3;4;256;0;0;5;0;M518058;1930;1960;x
Pliyev;545035;UKR;1930;1941;1990;1990;2;5;4;1;0;5;0;L518034;1930;1960;x
Riecke;545036;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518035;1930;1960;x
Ruvinski;545037;UKR;1930;1930;1942;1990;2;4;32;1;0;5;0;M518064;1930;1960;x
Sakharov;545038;UKR;1930;1990;1990;1990;3;2;128;0;0;5;0;L518037;1930;1960;x
Schapowalow;545039;UKR;1930;1990;1990;1990;3;3;2;0;0;5;0;L518038;1930;1960;x
Schröder;545040;UKR;1930;1990;1990;1990;3;5;514;1;0;5;0;L518039;1930;1960;x
Shandruk;545041;UKR;1930;1930;1990;1990;2;4;16;0;0;5;0;M518065;1930;1960;x
Shatov;545042;UKR;1930;1990;1990;1990;3;2;8;0;0;5;0;L518041;1930;1960;x
Shilenkov;545043;UKR;1930;1930;1990;1990;2;3;0;0;0;5;0;L518042;1930;1960;x
Shukhevich;545044;UKR;1930;1930;1943;1990;2;6;16;1;0;5;0;L518043;1930;1960;x
Skoropadsky;545045;UKR;1930;1930;1990;1990;2;3;514;1;0;5;0;M518059;1930;1960;x
Strelnikov;545046;UKR;1930;1930;1930;1990;1;4;1;1;0;5;0;M518008;1930;1960;x
Trukhin;545047;UKR;1930;1930;1990;1990;2;3;8;0;0;5;0;L518046;1930;1960;x
Vlassov;545048;UKR;1930;1930;1930;1990;1;6;1;2;0;5;0;L518047;1930;1960;x
von Bodenhausen;545049;UKR;1930;1942;1990;1990;3;3;2;1;0;5;0;L518048;1930;1960;x
von Bomhard;545050;UKR;1930;1930;1990;1990;2;3;0;0;0;5;0;L518049;1930;1960;x
von Bülow;545051;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518050;1930;1960;x
von Eberstein;545052;UKR;1930;1930;1990;1990;2;2;0;0;0;5;0;L518051;1930;1960;x
von Falkowski;545053;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518052;1930;1960;x
von Gallwitz;545054;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518053;1930;1960;x
von Treuenfeld;545055;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518054;1930;1960;x
Yefimov;545056;UKR;1930;1939;1990;1990;2;3;0;1;0;5;0;M518056;1930;1960;x
Zakutny;545057;UKR;1930;1990;1990;1990;3;2;1;0;0;5;0;L518056;1930;1960;x
Zverev;545058;UKR;1930;1990;1990;1990;3;3;2;0;0;5;0;L518057;1930;1960;x
Dushin;545059;UKR;1930;1990;1990;1990;3;2;0;0;0;5;1;M518070;1930;1960;x
Gorshkov;545060;UKR;1930;1930;1944;1990;2;4;0;2;0;5;1;M518068;1930;1960;x
Isakov;545061;UKR;1930;1930;1943;1990;1;4;0;2;0;5;1;M518009;1930;1960;x
Kühn;545062;UKR;1930;1990;1990;1990;3;3;0;0;0;5;1;L518061;1930;1960;x
Martjenko;545063;UKR;1930;1990;1990;1990;3;2;0;0;0;5;1;L518062;1930;1960;x
Pilipenko;545064;UKR;1930;1930;1990;1990;2;3;1024;0;0;5;1;M518071;1930;1960;x
Riedel;545065;UKR;1930;1990;1990;1990;3;3;4096;0;0;5;1;L518064;1930;1960;x
von Trotha;545066;UKR;1930;1930;1990;1990;2;4;4096;0;0;5;1;M518072;1930;1960;x
Walter;545067;UKR;1930;1990;1990;1990;3;5;8704;0;0;5;1;L518066;1930;1960;x
Wolfram;545068;UKR;1930;1939;1990;1990;3;3;1536;1;0;5;1;L518067;1930;1960;x
Alaydin;545069;UKR;1930;1930;1942;1990;2;3;131072;2;0;5;2;M518010;1930;1960;x
Böttge;545070;UKR;1930;1990;1990;1990;3;3;0;0;0;5;2;L518069;1930;1960;x
Dushin;545071;UKR;1930;1990;1990;1990;3;3;131072;0;0;5;2;M518070;1930;1960;x
Fedun-Poltava;545072;UKR;1930;1990;1990;1990;3;2;32768;0;0;5;2;L518071;1930;1960;x
Maltsev;545073;UKR;1930;1930;1941;1990;2;3;0;2;0;5;2;M518077;1930;1960;x
Muggenthaler;545074;UKR;1930;1990;1990;1990;3;3;4096;0;0;5;2;L518073;1930;1960;x
Müller;545075;UKR;1930;1941;1990;1990;2;4;16384;1;0;5;2;L518074;1930;1960;x
Nitzsche;545076;UKR;1930;1942;1990;1990;3;3;0;1;0;5;2;L518075;1930;1960;x
Nuber;545077;UKR;1930;1990;1990;1990;3;3;65536;0;0;5;2;L518076;1930;1960;x
Ortner-Weigand;545078;UKR;1930;1990;1990;1990;3;3;0;0;0;5;2;L518077;1930;1960;x
Pochukalin;545079;UKR;1930;1938;1946;1990;2;4;0;2;0;5;2;L518078;1930;1960;x
Starke;545080;UKR;1930;1990;1990;1990;3;2;0;0;0;5;2;L518079;1930;1960;x
Omelianovych-Pavlenko;545081;UKR;1916;1917;1918;1919;0;7;20;4;20;5;0;7753;1914;1932;x
Kossak;545082;UKR;1916;1917;1918;1990;1;4;6;2;0;2;0;unknown;1915;1932;x
Oskilko;545083;UKR;1916;1917;1918;1919;1;3;2;1;0;4;0;unknown;1914;1932;x
Gembachiv;545084;UKR;1916;1917;1918;1990;2;3;0;1;0;4;0;unknown;1915;1932;x
Tarnavski;545085;UKR;1916;1917;1919;1990;2;3;0;1;0;4;0;unknown;1914;1932;x
Dolud;545086;UKR;1915;1990;1990;1990;3;3;0;2;0;5;0;unknown;1915;1932;x
Mikitko;545087;UKR;1914;1917;1990;1990;2;3;0;2;0;5;0;unknown;1914;1932;x
Krauss;545088;UKR;1914;1917;1918;1990;2;3;0;2;20;3;0;unknown;1914;1932;x
Kurmanevych;545089;UKR;1914;1917;1920;1990;3;3;0;1;0;4;0;unknown;1915;1932;x
Hoffman;545090;UKR;1914;1921;1990;1990;3;3;0;1;0;3;0;unknown;1915;1932;x
Schamanek;545091;UKR;1914;1917;1990;1990;3;4;1;2;0;3;0;unknown;1914;1932;x
Klee;545092;UKR;1914;1990;1990;1990;3;2;0;1;0;3;0;unknown;1914;1932;x
Grekov;545093;UKR;1914;1915;1916;1920;1;4;6;2;20;4;0;unknown;1914;1932;x
Delwig;545094;UKR;1914;1915;1920;1990;2;3;1;2;0;4;0;unknown;1915;1932;x
Petlura;545095;UKR;1915;1916;1918;1919;0;3;0;1;0;5;0;1657;1914;1932;x
Hryhoryiev;545096;UKR;1914;1915;1918;1990;3;3;18;2;0;1;0;unknown;1915;1932;x
Tiutiunnik;545097;UKR;1915;1916;1917;1990;1;3;2;2;0;5;0;unknown;1915;1932;x
Bolbochan;9000;UKR;1918;1919;1919;1990;3;3;0;2;0;5;0;unknown;1919;1932;x
