Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Dmyrkin;610001;CXB;1930;1939;1990;1990;3;3;256;1;0;5;0;L504000;1930;1960;x
Kolnigin;610002;CXB;1930;1930;1990;1990;2;3;513;1;0;5;0;L504001;1930;1942;x
Kresnikoff;610003;CXB;1930;1990;1990;1990;3;2;8;0;0;5;0;L504002;1930;1960;x
Kulov;610004;CXB;1930;1930;1990;1990;2;2;0;0;0;5;0;L504003;1930;1960;x
Ma Hongkui;610005;CXB;1930;1939;1941;1990;1;3;1;2;0;2;0;947;1930;1960;x
Ma Hongbin;610006;CXB;1930;1930;1990;1990;2;2;0;0;0;2;0;L50236;1930;1942;x
Ma Bufang;610007;CXB;1930;1930;1990;1990;2;2;0;0;0;2;0;L50237;1930;1939;x
Ma Buqing;610008;CXB;1930;1930;1930;1990;1;2;1;1;0;5;0;L504007;1930;1960;x
Mirkin;610009;CXB;1930;1990;1990;1990;3;2;0;0;0;5;0;L504008;1930;1960;x
Ostromov;610010;CXB;1930;1990;1990;1990;3;2;128;0;0;5;0;L504009;1930;1960;x
Szhestenko;610011;CXB;1930;1990;1990;1990;3;2;4;0;0;5;0;L504010;1930;1960;x
Dmyrkin;610012;CXB;1930;1930;1990;1990;3;2;0;0;0;5;1;L504000;1930;1960;x
Ma Hongbin;610013;CXB;1930;1930;1990;1990;2;1;0;0;0;2;1;L50236;1930;1942;x
Ma Bufang;610014;CXB;1930;1930;1990;1990;2;1;0;0;0;2;1;L50237;1930;1939;x
Dmyrkin;610015;CXB;1930;1939;1990;1990;3;2;0;1;0;5;2;L504000;1930;1960;x
Draveladzhe;610016;CXB;1930;1990;1990;1990;3;2;4096;0;0;5;2;L504015;1930;1960;x
Kprensky;610017;CXB;1930;1990;1990;1990;3;2;0;0;0;5;2;L504016;1930;1960;x
Ma Hongkui;610018;CXB;1930;1939;1941;1990;1;2;0;2;0;2;2;947;1930;1960;x
Ma Hu-shan;610019;CXB;1930;1930;1940;1990;1;3;4;0;0;1;0;L160014;1930;1941;x
Ma Shih-ming;610020;CXB;1930;1930;1990;1990;2;3;0;1;0;5;0;unknown;1930;1990;x
Ma Fu-ming;610021;CXB;1930;1930;1990;1990;2;3;0;1;0;5;0;unknown;1930;1990;x
Huang Xinming;610022;CXB;1930;1990;1990;1990;3;2;0;0;0;5;0;unknown;1930;1970;x
Huang Yin;610023;CXB;1930;1938;1990;1990;3;2;0;0;0;5;0;unknown;1930;1968;x
Li Hanyuan;610024;CXB;1936;1990;1990;1990;3;2;0;0;0;5;0;unknown;1936;1975;x
Lu Zhongliang;610025;CXB;1931;1990;1990;1990;3;3;0;0;0;4;0;unknown;1931;1988;x
Ma Baolin;610026;CXB;1943;1990;1990;1990;3;2;0;0;0;5;0;unknown;1943;1970;x
Ma Biao;610027;CXB;1937;1990;1990;1990;3;2;0;0;0;5;0;unknown;1937;1948;x
Ma Dongjing;610028;CXB;1941;1943;1990;1990;2;2;0;0;0;5;0;unknown;1941;2003;x
Ma Quanliang;610029;CXB;1930;1951;1990;1990;3;2;0;0;0;5;0;unknown;1930;1965;x
Ma Quanzhong;610030;CXB;1946;1990;1990;1990;3;2;0;0;0;5;0;unknown;1946;1987;x
Ma Yuanxiang;610031;CXB;1938;1949;1990;1990;3;2;4;1;0;5;0;unknown;1938;1953;x
Ma Zhichao;610032;CXB;1937;1990;1990;1990;3;2;0;0;0;4;0;unknown;1937;1973;x
Wang Xiding;610033;CXB;1936;1990;1990;1990;3;2;1;0;0;5;0;unknown;1936;1949;x
Wang Youlu;610034;CXB;1945;1990;1990;1990;3;2;0;0;0;5;0;unknown;1945;1970;x
Wang Zhiqi;610035;CXB;1938;1942;1990;1990;2;2;0;1;0;5;0;unknown;1938;1985;x
Wei Suzhong;610036;CXB;1927;1930;1990;1990;3;2;0;0;0;5;0;unknown;1927;1951;x
Yang Qutong;610037;CXB;1934;1990;1990;1990;3;2;0;0;0;5;0;unknown;1934;1961;x
Yang Ziheng;610038;CXB;1933;1937;1990;1990;2;2;0;0;0;5;0;unknown;1933;1961;x
Liu Hanzhen;610039;CXB;1927;1990;1990;1990;3;2;0;0;0;5;1;unknown;1927;1963;x
Ma Rulong;610040;CXB;1920;1990;1990;1990;3;2;0;0;0;5;1;unknown;1920;1970;x
Wang Zhumin;610041;CXB;1924;1990;1990;1990;3;2;0;0;0;5;2;unknown;1924;1962;x
Ma Bukang;610042;CXB;1933;1990;1990;1990;3;2;0;1;0;5;0;unknown;1933;1970;x
Xiang Chaozhong;610043;CXB;1928;1939;1990;1990;2;2;4096;0;0;5;2;unknown;1928;1978;x
Ma Buluan;610044;CXB;1944;1990;1990;1990;3;2;0;0;0;5;0;unknown;1944;1969;x
Ma Dunjing;610045;CXB;1943;1948;1990;1990;2;2;0;0;0;5;0;unknown;1943;1972;x
Ma Fuxiang;610046;CXB;1910;1910;1990;1990;3;2;512;1;0;5;0;6307;1910;1932;x
Ma Jiyuan;610047;CXB;1946;1990;1990;1990;3;2;0;1;0;5;0;unknown;1946;1970;x
Ma Liang;610048;CXB;1949;1949;1990;1990;3;2;4;1;0;5;0;unknown;1949;1970;x
Ma Lin;610049;CXB;1910;1920;1990;1990;3;2;0;1;0;5;0;6308;1910;1945;x
Ma Qi;610050;CXB;1910;1990;1990;1990;3;2;512;1;0;5;0;unknown;1910;1931;x
Ma Tingran;610051;CXB;1949;1990;1990;1990;3;2;4;1;0;5;0;unknown;1949;1962;x
Ma Tingxian;610052;CXB;1949;1990;1990;1990;3;2;4;1;0;5;0;unknown;1949;1962;x
Ma Zhongying;610053;CXB;1930;1990;1990;1990;3;2;4;1;0;5;0;6309;1930;1936;x
Liu Bangjun;610054;CXB;1947;1947;1990;1990;3;3;0;1;0;4;0;unknown;1947;1970;x
