Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Belovsky;615001;CYN;1930;1990;1990;1990;3;2;0;0;0;5;0;L501000;1930;1960;x
Golpurchin;615002;CYN;1930;1930;1930;1990;1;2;0;1;0;5;0;L501001;1930;1960;x
Krustin;615003;CYN;1930;1990;1990;1990;3;2;128;0;0;5;0;L501002;1930;1960;x
Kurukikov;615004;CYN;1930;1990;1990;1990;3;2;8;0;0;5;0;L501003;1930;1960;x
Liu Wen-hui;615005;CYN;1930;1938;1990;1990;2;3;2;1;0;2;0;L50218;1930;1960;x
Lu Han;615006;CYN;1930;1930;1990;1990;2;2;2;0;0;3;0;L50228;1930;1943;x
Long Yun;615007;CYN;1930;1930;1930;1990;1;3;16;1;0;2;0;L50232;1930;1960;x
Mozh-Rüttel;615008;CYN;1930;1990;1990;1990;3;2;4;0;0;5;0;L501007;1930;1960;x
Putelkin;615009;CYN;1930;1930;1990;1990;2;2;256;0;0;5;0;L501008;1930;1960;x
Shaposchirtin;615010;CYN;1930;1930;1990;1990;2;2;1;0;0;5;0;L501009;1930;1960;x
von Hesselkammer;615011;CYN;1930;1930;1990;1990;2;3;2;0;0;5;0;L501010;1930;1960;x
Kurukikov;615012;CYN;1930;1990;1990;1990;3;1;0;0;0;5;1;L501003;1930;1960;x
Long Yun;615013;CYN;1930;1930;1930;1990;1;1;0;0;0;2;1;L50232;1930;1960;x
Putelkin;615014;CYN;1930;1930;1990;1990;2;2;0;0;0;5;1;L501008;1930;1960;x
Bozenkov;615015;CYN;1930;1990;1990;1990;2;2;4096;0;0;5;2;L501014;1930;1960;x
Krelnikov;615016;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501015;1930;1960;x
Lu Han;615017;CYN;1930;1930;1990;1990;2;1;0;0;0;3;2;L50228;1930;1943;x
Zhaprosenkov;615018;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501017;1930;1960;x
Eberhard;615019;CYN;1930;1930;1990;1990;2;4;518;1;0;5;0;L501018;1930;1945;x
Kattner;615020;CYN;1930;1930;1990;1990;2;1;2;1;0;5;0;L501019;1945;1960;x
Chen Shufan;615021;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;unknown;1908;1935;x
Chen Jiongming;615022;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;2130;1908;1935;x
Cai E;615023;CYN;1910;1911;1914;1935;3;7;2;3;0;1;0;2131;1908;1935;x
Tang Jiyao;615024;CYN;1910;1914;1917;1935;3;5;0;3;0;1;0;2132;1908;1935;x
Yin Cheng;615025;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2133;1908;1935;x
Li Liejun;615026;CYN;1910;1935;1914;1935;3;5;4;2;0;5;0;2134;1908;1917;x
Lu Rongting;615027;CYN;1910;1917;1935;1935;3;5;0;2;0;1;0;2135;1908;1935;x
Chen Huan;615028;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2136;1908;1935;x
Liu Hsien-Shih;615029;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknown;1908;1935;x
Xiong Kewu;615030;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknown;1908;1935;x
Hu Jingyi;615031;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknown;1908;1935;x
Zhang Jingyao;615032;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2137;1908;1917;x
Zhang Peijue;615033;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknown;1908;1935;x
Pu Dianjun;615034;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknown;1908;1935;x
An Enpu;615035;CYN;1931;1990;1990;1990;3;3;0;0;0;4;0;unknown;1931;1965;x
Bai Tianmin;615036;CYN;1936;1990;1990;1990;3;2;0;0;0;4;0;unknown;1936;1970;x
Cheng Gang;615037;CYN;1937;1942;1990;1990;2;3;0;1;0;4;0;6310;1937;1964;x
Chen Jikai;615038;CYN;1943;2010;2010;2010;3;2;0;0;0;4;0;unknown;1943;2004;x
Chen Liangji;615039;CYN;1938;1942;1990;1990;2;3;0;1;0;4;0;unknown;1938;1952;x
Chen Yongsi;615040;CYN;1944;1990;1990;1990;3;3;0;0;0;4;0;unknown;1944;1981;x
Chen Zhuo;615041;CYN;1945;1990;1990;1990;3;3;0;0;0;4;0;unknown;1945;1985;x
Feng Chunshen;615042;CYN;1938;1990;1990;1990;3;3;0;0;0;4;0;unknown;1938;1991;x
Gan Fang;615043;CYN;1928;1931;1990;1990;2;4;0;1;0;4;0;unknown;1928;1951;x
Hui Ji;615044;CYN;1933;1990;1990;1990;3;3;0;0;0;4;2;unknown;1933;1974;x
Jiang Bin;615045;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknown;1930;1937;x
Jin Handing;615046;CYN;1926;1927;1990;1990;2;3;0;1;0;4;0;6311;1926;1967;x
Ji Yiqiao;615047;CYN;1925;1926;1990;1990;2;2;0;0;0;4;0;unknown;1925;1976;x
Li Shihan;615048;CYN;1918;1990;1990;1990;3;3;0;1;0;4;0;unknown;1918;1958;x
Liu Yaoyang;615049;CYN;1930;1937;1990;1990;2;3;0;1;0;4;0;6312;1930;1962;x
Ma Cong;615050;CYN;1917;1936;1990;1990;2;2;0;0;0;4;0;unknown;1917;1961;x
Ma Jiwu;615051;CYN;1944;1990;1990;1990;3;2;0;1;0;4;0;unknown;1944;1962;x
Ma Yin;615052;CYN;1938;1990;1990;1990;3;3;0;0;0;4;0;unknown;1938;1980;x
Ma Zhen;615053;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknown;1930;1963;x
Qiu Bingchang;615054;CYN;1939;1945;1990;1990;2;3;0;1;0;4;0;unknown;1939;1978;x
Tang Jilin;615055;CYN;1937;1990;1990;1990;3;2;0;0;0;4;0;unknown;1937;1958;x
Tian Zhongyi;615056;CYN;1926;1943;1990;1990;2;4;0;1;0;4;0;unknown;1926;1972;x
Wan Baobang;615057;CYN;1938;1942;1990;1990;2;3;2;1;0;4;0;unknown;1938;1972;x
Wang Jingxuan;615058;CYN;1925;1933;1990;1990;2;2;0;0;0;4;0;unknown;1925;1956;x
Wang Zhaokun;615059;CYN;1937;1990;1990;1990;3;2;0;0;0;4;0;unknown;1937;1950;x
