U91;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1270001;Head of State;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270002;Head of Government;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270003;Foreign Minister;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270004;Minister of Armament;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270005;Minister of Security;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270006;Head of Military Intelligence;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270007;Chief of Staff;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270008;Chief of Army;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270009;Chief of Navy;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270010;Chief of Air Force;Blue Shadow;1933;1964;ML;Undistinguished Suit;Very High;unknown;X
1270011;Head of State;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270012;Head of Government;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270013;Foreign Minister;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270014;Minister of Armament;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270015;Minister of Security;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270016;Head of Military Intelligence;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270017;Chief of Staff;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270018;Chief of Army;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270019;Chief of Navy;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270020;Chief of Air Force;Red Shadow;1933;1964;LE;Undistinguished Suit;Very High;unknown;X
1270021;Head of State;Mubarak Al-Sabah;1896;1915;PA;Powerhungry Demagogue;Very High;6053;X
1270022;Head of Government;Mubarak Al-Sabah;1896;1915;PA;Flamboyant Tough Guy;Very High;6053;X
1270023;Foreign Minister;Mubarak Al-Sabah;1896;1915;PA;Ideological Crusader;Very High;6053;X
1270024;Minister of Armament;Mubarak Al-Sabah;1896;1915;PA;laissez-faire capitalist;Very High;6053;X
1270025;Minister of Security;Mubarak Al-Sabah;1896;1915;PA;Prince of Terror;Very High;6053;X
1270026;Head of Military Intelligence;Mubarak Al-Sabah;1896;1915;PA;Logistics Specialist;Very High;6053;X
1270027;Chief of Staff;Mubarak Al-Sabah;1896;1915;PA;School of Defence;Very High;6053;X
1270028;Chief of Army;Mubarak Al-Sabah;1896;1915;PA;Guns and Butter Doctrine;Very High;6053;X
1270031;Head of State;Jaber II Al-Sabah;1915;1917;PA;Powerhungry Demagogue;Very High;unknown;X
1270032;Head of Government;Jaber II Al-Sabah;1915;1917;PA;Flamboyant Tough Guy;Very High;unknown;X
1270033;Foreign Minister;Jaber II Al-Sabah;1915;1917;PA;Ideological Crusader;Very High;unknown;X
1270034;Minister of Armament;Jaber II Al-Sabah;1915;1917;PA;laissez-faire capitalist;Very High;unknown;X
1270035;Minister of Security;Jaber II Al-Sabah;1915;1917;PA;Prince of Terror;Very High;unknown;X
