UTC;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
1335001;Head of State;Anton Denkin;1914;1964;PA;Weary Stiffneck;High;6937;X
1335002;Head of Government;Mielnikow;1914;1964;SC;Silent Workhorse;High;7988;X
1335003;Foreign Minister;A.A. Nieratow;1914;1964;PA;General Staffer;High;unknown;X
1335004;Minister of Armament;M.Biernacki;1914;1964;PA;Military Entrepreneur;High;6952;X
1335005;Minister of Security;Klimowicz;1914;1964;PA;Back Stabber;High;unknown;X
1335006;Head of Military Intelligence;Mikhail Meandrov;1914;1964;PA;Dismal Enigma;High;unknown;X
1335007;Chief of Staff;Anton Denikin;1914;1964;PA;School of Mass Combat;High;6937;X
1335008;Chief of Army;Lavrentij Kornilov;1914;1964;PA;Guns and Butter Doctrine;High;L500046;X
1335009;Chief of Navy;Gierasimow;1914;1964;PA;Decisive Naval Battle Doctrine;High;7990;X
1335010;Chief of Air Force;Alexandr Kolchak;1914;1964;PA;Naval Aviation Doctrine;High;6953;X
1335011;Foreign Minister;Piotr Struwe;1914;1964;PA;General Staffer;High;unknown;X
1335012;Foreign Minister;S.D. Sazonow;1914;1964;PA;General Staffer;High;7989;X
1335013;Chief of Navy;Sablin;1914;1964;PA;Decisive Naval Battle Doctrine;High;unknown;X
1335014;Chief of Navy;Gierasimow;1914;1964;PA;Decisive Naval Battle Doctrine;High;7990;X
