AUS;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
115001;Head of State;Wilhelm Miklas;1933;1964;FA;Weary Stiffneck;High;M23001;X
115002;Head of Government;Kurt Schuschnigg;1933;1964;FA;Silent Workhorse;High;M23002;X
115003;Foreign Minister;Egon Berger-Waldenegg;1933;1964;FA;Apologetic Clerk;High;M23003;X
115004;Minister of Armament;Julius Raab;1933;1964;FA;Resource Industrialist;Medium;M23004;X
115005;Minister of Security;Eduard Baar-Baarenfels;1933;1964;FA;Man of the People;High;M23005;X
115006;Head of Military Intelligence;Wilhelm Gebauer;1933;1964;FA;Logistics Specialist;Medium;M23006;X
115007;Chief of Staff;Alfred von Jansa;1933;1964;FA;School of Defence;Medium;M23007;X
115008;Chief of Army;Wilhelm Zehner;1933;1964;FA;Elastic Defence Doctrine;High;M23008;X
115009;Chief of Navy;Paul von Hegedüs;1933;1964;FA;Decisive Naval Battle Doctrine;High;M23009;X
115010;Chief of Air Force;Alexander Löhr;1933;1964;NS;Army Aviation Doctrine;Medium;M23010;X
115011;Head of State;Otto I;1933;1964;PA;Autocratic Charmer;High;M23041;X
115012;Head of State;Josef Bürckel;1938;1964;FA;Insignificant Layman;High;M23042;X
115013;Head of State;Arthur Seyss-Inquart;1938;1964;NS;Die-hard Reformer;High;M23011;X
115014;Head of State;Karl Renner;1938;1964;SD;Benevolent Gentleman;High;M23021;X
115015;Head of State;Leopold Figl;1945;1964;SC;Pig-headed Isolationist;High;M23045;X
115016;Head of State;Otto Bauer;1938;1964;LE;Insignificant Layman;High;M23031;X
115017;Head of State;Josef Teufl;1945;1964;ST;Barking Buffoon;High;M23047;X
115018;Head of Government;O. Löwenfels-Aarengau;1945;1964;PA;Smiling Oilman;High;M23048;X
115019;Head of Government;Albert Mendsdorff-Pouilly;1938;1964;FA;Happy Amateur;High;M23049;X
115020;Head of Government;Edmund Glaise-Horstenau;1938;1964;NS;Old General;High;M23050;X
115021;Head of Government;Wilhelm Wolff;1942;1964;NS;Flamboyant Tough Guy;High;M23013;X
115022;Head of Government;Ludwig Hülgerth;1938;1964;SC;Corporate Suit;High;M23052;X
115023;Head of Government;Adolf Schärf;1945;1964;SD;Naive Optimist;High;M23022;X
115024;Head of Government;Willi Frank;1938;1964;LE;Happy Amateur;High;M23035;X
115025;Head of Government;Josef Teufl;1945;1964;ST;Backroom Backstabber;High;M23047;X
115026;Foreign Minister;O. Löwenfels-Aarengau;1945;1964;PA;General Staffer;High;M23048;X
115027;Foreign Minister;Guido Schmidt;1933;1964;FA;The Cloak N Dagger Schemer;High;M23057;X
115028;Foreign Minister;Eduard Baar-Baarenfels;1938;1964;FA;Iron Fisted Brute;High;M23005;X
115029;Foreign Minister;Albert Mendsdorff-Pouilly;1939;1964;FA;Apologetic Clerk;Medium;M23049;X
115030;Foreign Minister;Wilhelm Wolff;1938;1964;NS;Ideological Crusader;High;M23013;X
115031;Foreign Minister;Edmund Glaise-Horstenau;1942;1964;NS;General Staffer;Medium;M23061;X
115032;Foreign Minister;Karl Gruber;1938;1964;SC;Biased Intellectual;Low;M23023;X
115033;Foreign Minister;Leopold Figl;1945;1964;ML;Great Compromiser;Medium;M23045;X
115034;Foreign Minister;Adolf Schärf;1945;1964;ML;Biased Intellectual;Medium;M23022;X
115035;Foreign Minister;Alfred Klahr;1938;1964;LE;Ideological Crusader;High;M23033;X
115036;Foreign Minister;Willi Frank;1945;1964;ST;Iron Fisted Brute;Medium;M23035;X
115037;Minister of Armament;T. Winkler-Kreuth-Mautner;1945;1964;PA;laissez-faire capitalist;High;M23067;X
115038;Minister of Armament;Albert Mendsdorff-Pouilly;1946;1964;PA;Administrative Genius;Medium;M23049;X
115039;Minister of Armament;Josef Dobretsberger;1933;1964;FA;laissez-faire capitalist;High;M23069;X
115040;Minister of Armament;Paul von Hegedüs;1938;1964;FA;Battle Fleet Proponent;High;M23009;X
115041;Minister of Armament;Rudolf Neumayr;1938;1964;NS;Resource Industrialist;Medium;M23014;X
115042;Minister of Armament;Hans Fischböck;1942;1964;NS;Military Entrepreneur;High;M23072;X
115043;Minister of Armament;Alfred Maleta;1944;1964;NS;Tank Proponent;Medium;M23073;X
115044;Minister of Armament;Eduard Heinl;1938;1964;ML;Theoretical Scientist;Medium;M23024;X
115045;Minister of Armament;Karl Gruber;1942;1964;ML;Air Superiority Proponent;Low;M23023;X
115046;Minister of Armament;Karl Renner;1945;1964;SC;Strategic Air Proponent;Low;M23021;X
115047;Minister of Armament;Karl Tuppy;1945;1964;SD;Corrupt Kleptocrat;Low;M23077;X
115048;Minister of Armament;Fritz Stöckinger;1946;1964;SD;Air to Ground Proponent;High;M23078;X
115049;Minister of Armament;Ludwig Huelgerth;1946;1964;SD;Air to Sea Proponent;Medium;M23052;X
115050;Minister of Armament;Robert Winterstein;1938;1964;LE;Submarine Proponent;Medium;M23025;X
115051;Minister of Armament;Erwin Puschmann;1945;1964;ST;Infantry Proponent;Medium;M23034;X
115052;Minister of Security;W. Ehrenburg von Lüttitz;1945;1964;PA;Efficient Sociopath;High;M23082;X
115053;Minister of Security;Kurt Schuschnigg;1937;1964;FA;Compassionate Gentleman;High;M23002;X
115054;Minister of Security;Constantin Dumba;1938;1964;FA;Man of the People;Medium;M23084;X
115055;Minister of Security;Arthur Seyss-Inquart;1938;1964;NS;Silent Lawyer;High;M23011;X
115056;Minister of Security;Hanns Rauter;1942;1964;NS;Man of the People;High;M23086;X
115057;Minister of Security;Edmund Glaise-Horstenau;1944;1964;NS;Prince of Terror;Medium;M23050;X
115058;Minister of Security;Robert Winterstein;1938;1964;SC;Crooked Kleptocrat;Medium;M23025;X
115059;Minister of Security;Karl Tuppy;1945;1964;SC;Efficient Sociopath;Low;M23077;X
115060;Minister of Security;Franz Sebek;1945;1964;SD;Compassionate Gentleman;High;M23036;X
115061;Minister of Security;Otto Bauer;1938;1964;LE;Back Stabber;Very Low;M23031;X
115062;Minister of Security;Willi Frank;1945;1964;ST;Crime Fighter;Medium;M23035;X
115063;Head of Military Intelligence;Kalmán Szell;1945;1964;PA;Political Specialist;Medium;M23093;X
115064;Head of Military Intelligence;Constantin Dumba;1933;1964;FA;Naval Intelligence Specialist;Medium;M23084;X
115065;Head of Military Intelligence;Karl Eglseer;1938;1964;FA;Logistics Specialist;High;M23095;X
115066;Head of Military Intelligence;Wilhelm Wolff;1938;1964;NS;Technical Specialist;High;M23013;X
115067;Head of Military Intelligence;Alexander Löhr;1942;1964;NS;Dismal Enigma;Medium;M23010;X
115068;Head of Military Intelligence;Robert Winterstein;1938;1964;SC;Technical Specialist;High;M23025;X
115069;Head of Military Intelligence;Julius Raab;1945;1964;SC;Industrial Specialist;Medium;M23004;X
115070;Head of Military Intelligence;Franz Sebek;1945;1964;SD;Political Specialist;High;M23036;X
115071;Head of Military Intelligence;Richard Bernaschek;1945;1964;ST;Technical Specialist;High;M23038;X
115072;Chief of Staff;O. Meixner von Zweienstamm;1945;1964;PA;School of Defence;Medium;M23103;X
115073;Chief of Staff;Walter Ernst;1933;1964;FA;School of Defence;High;M23104;X
115074;Chief of Staff;Rudolf von Brudermann;1941;1964;FA;School of Manoeuvre;High;M23105;X
115075;Chief of Staff;Emil Hickmann;1938;1964;NS;School of Manoeuvre;High;M23017;X
