BLR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
470001;Head of State;Aleksandr G. Chervyakov;1933;1964;LE;Autocratic Charmer;High;M517001;X
470002;Head of Government;Aleksiy A. Volkov;1933;1964;LE;Naive Optimist;High;M517002;X
470003;Foreign Minister;Nikolay I. Gusarov;1933;1964;LE;Great Compromiser;High;M517003;X
470004;Minister of Armament;Aleksander Osatkin-Vladimirsky;1933;1964;LE;Infantry Proponent;Medium;M517004;X
470005;Minister of Security;Yurij B. Gamarnik;1933;1964;LE;Prince of Terror;Medium;M517005;X
470006;Head of Military Intelligence;Yazip Losik;1933;1964;LE;Naval Intelligence Specialist;Medium;M517006;X
470007;Chief of Staff;Serafim Pokrovski;1933;1964;LE;School of Psychology;Medium;M517007;X
470008;Chief of Army;Pavel Ponomarenko;1933;1964;LE;Armoured Spearhead Doctrine;Medium;M517008;X
470009;Chief of Navy;Valerik Lesik;1933;1964;LE;Indirect Approach Doctrine;Medium;M517009;X
470010;Chief of Air Force;Vladimir I. Cheryakov;1933;1964;LE;Carpet Bombing Doctrine;Medium;M517010;X
470011;Head of State;Yazip Losik;1933;1964;SD;Weary Stiffneck;High;M517006;X
470012;Head of State;Radion Survilla;1933;1964;SC;Stern Imperialist;High;M517012;X
470013;Head of State;Pyotr Krecheuski;1933;1964;NS;Autocratic Charmer;High;M517013;X
470014;Head of Government;Pyotr Krecheuski;1933;1964;SD;Happy Amateur;High;M517013;X
470015;Head of Government;Venedict Bobkovski;1933;1964;SC;Political Protege;High;M517015;X
470016;Head of Government;Vasil Zacharka;1933;1964;NS;Corporate Suit;High;M517016;X
470017;Foreign Minister;Karl Lander;1933;1964;LE;Ideological Crusader;High;M517017;X
470018;Foreign Minister;Panteleimon Rozhnovsky;1933;1964;SD;Apologetic Clerk;High;M517018;X
470019;Foreign Minister;Pyotr A. Krechevsky;1933;1964;SD;Ideological Crusader;High;M517019;X
470020;Foreign Minister;Vasil Zacharka;1933;1964;SC;Great Compromiser;High;M517016;X
470021;Foreign Minister;Veniamin Novitski;1933;1964;SC;Apologetic Clerk;High;M517021;X
