DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
625001;Head of State;Johannes Dieckmann;1936;1964;ST;Pig-headed Isolationist;High;M507001;X
625002;Head of Government;Walter Ulbricht;1936;1964;ST;Ambitious Union Boss;High;M53;X
625003;Foreign Minister;Georg Derlinger;1936;1964;ST;Ideological Crusader;High;M507003;X
625004;Minister of Armament;Willi Stoph;1933;1964;ST;laissez-faire capitalist;High;M507004;X
625005;Minister of Security;Karl Steinhoff;1933;1964;ST;Crooked Kleptocrat;Low;M507005;X
625006;Head of Military Intelligence;Wilhelm Zaisser;1933;1964;ST;Political Specialist;Very High;M507006;X
625007;Chief of Staff;Ernst Wollweber;1933;1964;ST;School of Mass Combat;Very High;M27;X
625008;Chief of Army;Hans Kahle;1933;1964;ST;Decisive Battle Doctrine;Very High;M28;X
625009;Chief of Navy;Fritz Scheelen;1933;1964;ST;Base Control Doctrine;Very High;M29;X
625010;Chief of Air Force;Willi Bredel;1933;1964;ST;Carpet Bombing Doctrine;Very High;M30;X
625011;Foreign Minister;Walter Ulbricht;1933;1964;ST;The Cloak N Dagger Schemer;High;M53;X
625012;Foreign Minister;Anton Ackermann;1936;1964;LE;Great Compromiser;High;M507012;X
625013;Minister of Armament;Albert Kuntz;1933;1964;ST;Resource Industrialist;High;M105;X
625014;Minister of Armament;Jakob Kaiser;1933;1964;LE;Military Entrepreneur;High;M507014;X
625015;Minister of Armament;Andres Hermes;1933;1964;LE;Administrative Genius;High;M507015;X
625016;Minister of Armament;Wilhelm Pieck;1933;1964;ST;Theoretical Scientist;High;M507016;X
625017;Minister of Security;Julius Leber;1933;1964;ST;Compassionate Gentleman;High;M133;X
625018;Minister of Security;Walter Ulbricht;1933;1964;ST;Prince of Terror;High;M53;X
625019;Minister of Security;Wilhelm Külz;1933;1964;LE;Crime Fighter;High;M507019;X
625020;Minister of Security;Otto Nuschke;1933;1964;LE;Silent Lawyer;High;M507020;X
625021;Minister of Security;Otto Grotewohl;1933;1964;ST;Efficient Sociopath;High;M507021;X
625022;Head of Military Intelligence;Heinrich Müller;1933;1964;ST;Dismal Enigma;Very High;M26;X
625023;Head of Military Intelligence;Ernst Wollweber;1933;1964;ST;Industrial Specialist;Very High;M27;X
625024;Head of Military Intelligence;Erich Mielke;1933;1964;ST;Logistics Specialist;Very High;M507024;X
625025;Head of Military Intelligence;Fritz Scheelen;1933;1964;ST;Naval Intelligence Specialist;Very High;M29;X
625026;Chief of Staff;Erich Weinert;1933;1964;ST;School of Psychology;High;M152;X
625027;Chief of Staff;Erwin Jollasse;1933;1964;ST;School of Manoeuvre;High;L507120;X
625028;Chief of Staff;Xaver Sattler;1933;1964;ST;School of Fire Support;High;L507227;X
625029;Chief of Army;Otto Korfes;1933;1964;LE;Elastic Defence Doctrine;Very High;L169;X
625030;Chief of Army;Walter Freytag;1933;1964;LE;Armoured Spearhead Doctrine;Very High;L77;X
625031;Chief of Navy;Otto Groos;1933;1964;ST;Open Seas Doctrine;Very High;L507158;X
625032;Chief of Air Force;Franz Nowak;1933;1964;LE;Air Superiority Doctrine;Very High;L507220;X
625033;Chief of Air Force;Wilhelm Speidel;1933;1964;ST;Vertical Envelopment Doctrine;Very High;L507237;X
625034;Head of State;Wilhelm Pieck;1949;1964;ST;Insignificant Layman;High;M507016;X
625035;Head of State;Ludwig Renn;1933;1964;ST;Insignificant Layman;High;M21;X
625036;Head of Government;Ernst Thälmann;1933;1964;ST;Backroom Backstabber;High;M22;X
625037;Head of Government;Ernst Toller;1939;1964;ST;Ambitious Union Boss;High;M25;X
625038;Foreign Minister;Helmut Herzfelde;1940;1964;ST;Ideological Crusader;High;M23;X
625039;Minister of Armament;Willie Munzenberg;1942;1964;ST;Administrative Genius;High;M24;X
625040;Head of Military Intelligence;Erich Weinert;1938;1964;ST;Logistics Specialist;High;M152;X
