ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
10001;Head of State;George V;1933;1964;ML;Stern Imperialist;High;M1001;X
10002;Head of Government;Stanley Baldwin;1933;1964;SC;Backroom Backstabber;High;M1002;X
10003;Foreign Minister;Anthony Eden;1933;1964;SC;Ideological Crusader;Medium;M1003;X
10004;Minister of Armament;Neville Chamberlain;1933;1964;SC;laissez-faire capitalist;High;M1004;X
10005;Minister of Security;Sir John Simon;1933;1964;SC;Crime Fighter;High;M1005;X
10006;Head of Military Intelligence;Sir Hugh Sinclair;1933;1964;SC;Logistics Specialist;Very High;M1006;X
10007;Chief of Staff;Sir A. Montgomery-Massingberd;1933;1964;ML;School of Fire Support;Very High;M1007;X
10008;Chief of Army;Sir A. Montgomery-Massingberd;1933;1964;ML;Static Defence Doctrine;Very High;M1007;X
10009;Chief of Navy;Sir Ernle Chatfield;1933;1964;ML;Decisive Naval Battle Doctrine;High;M1009;X
10010;Chief of Air Force;Sir Owen Boyd;1933;1964;ML;Air Superiority Doctrine;High;M1010;X
10011;Head of State;Edward VIII;1933;1964;SC;Autocratic Charmer;High;M1011;X
10012;Head of State;Edward VIII;1933;1964;SD;Autocratic Charmer;High;M1011;X
10013;Head of State;Edward VIII;1933;1964;FA;Autocratic Charmer;High;M1011;X
10014;Head of State;George VI;1933;1964;SC;Benevolent Gentleman;High;M1033;X
10015;Head of State;George VI;1933;1964;SD;Benevolent Gentleman;High;M1033;X
10016;Head of State;Aneurin Bevan;1933;1964;LWR;Pig-headed Isolationist;High;M1021;X
10017;Head of Government;Neville Chamberlain;1933;1964;SC;Naive Optimist;High;M1004;X
10018;Head of Government;Winston Churchill;1933;1964;SC;Bulldog;High;2430;X
10019;Head of Government;Clement Attlee;1937;1964;SD;Silent Workhorse;High;M1040;X
10020;Head of Government;Oswald Mosley;1933;1964;FA;Flamboyant Tough Guy;High;M1012;X
10021;Head of Government;Harry Pollitt;1933;1964;LWR;Ambitious Union Boss;High;M1022;X
10022;Foreign Minister;Lord Halifax;1938;1964;SC;Apologetic Clerk;Very High;M1045;X
10023;Foreign Minister;John Selwyn Lloyd;1944;1964;SC;Biased Intellectual;High;M1046;X
10024;Foreign Minister;Ernest Bevin;1937;1964;SD;The Cloak N Dagger Schemer;High;M1047;X
10025;Foreign Minister;Herbert Morrison;1940;1964;SD;Biased Intellectual;High;M1048;X
10026;Foreign Minister;William Joyce;1933;1964;FA;General Staffer;Low;M1013;X
10027;Foreign Minister;Lord Arthur Wellesley;1939;1964;FA;Great Compromiser;Low;M1050;X
10028;Foreign Minister;Lord Josslyn Erroll;1940;1964;FA;The Cloak N Dagger Schemer;Medium;M1051;X
10029;Foreign Minister;Henry Williamson;1941;1964;FA;Biased Intellectual;Medium;M1052;X
10030;Foreign Minister;Duke of Westminster;1942;1964;FA;Apologetic Clerk;Medium;M1053;X
10031;Foreign Minister;Archibald Ramsay;1943;1964;FA;Iron Fisted Brute;Medium;M1054;X
10032;Foreign Minister;Rajani Palme Dutt;1933;1964;LWR;Biased Intellectual;Medium;M1023;X
10033;Foreign Minister;Phil Piratin;1940;1964;ST;The Cloak N Dagger Schemer;Medium;M1056;X
10034;Foreign Minister;D.N. Pritt;1943;1964;ST;Apologetic Clerk;Medium;M1057;X
10035;Foreign Minister;Dave Springhall;1944;1964;LWR;Iron Fisted Brute;Medium;M1058;X
10036;Foreign Minister;Ian Mikardo;1945;1964;LWR;Ideological Crusader;Medium;M1059;X
10037;Minister of Armament;Sir John Simon;1937;1964;SC;Resource Industrialist;High;M1005;X
