HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
350001;Head of State;Stenio Vincent;1933;1964;SC;Pig-headed Isolationist;High;M78001;X
350002;Head of Government;Stenio Vincent;1933;1964;SC;Corporate Suit;High;M78001;X
350003;Foreign Minister;Albert Blanchet;1933;1964;SC;Apologetic Clerk;High;M78003;X
350004;Minister of Armament;Emilie Lescot;1933;1964;SC;Infantry Proponent;Medium;M78004;X
350005;Minister of Security;Luis Dabtes Bellegarde;1933;1964;SC;Crooked Kleptocrat;Medium;M78005;X
350006;Head of Military Intelligence;Sebastien de Arrondé;1933;1964;SC;Political Specialist;Medium;M78006;X
350007;Chief of Staff;Emilie Lescot;1933;1964;SC;School of Fire Support;Medium;M78004;X
350008;Chief of Army;Emilie Lescot;1933;1964;SC;Static Defence Doctrine;Medium;M78004;X
350009;Chief of Navy;Alfred Nemours;1933;1964;SC;Open Seas Doctrine;Medium;M78009;X
350010;Chief of Air Force;G.Edouard Roy;1933;1964;SC;Army Aviation Doctrine;Medium;M78010;X
350011;Head of State;Emilie Lescot;1941;1964;SC;Resigned Generalissimo;High;M78004;X
350012;Head of State;Louis Dejoie;1946;1964;SC;Die-hard Reformer;High;M78033;X
350013;Head of State;Dumarsais Estimé;1937;1964;SL;Popular Figurehead;High;M78034;X
350014;Head of State;Franck Lavaud;1946;1964;PA;Resigned Generalissimo;High;M78035;X
350015;Head of State;F. d'Orleans Juste Constant;1937;1964;LWR;Insignificant Layman;High;M78021;X
350016;Head of State;Demosthenes Calixte;1946;1964;LWR;Popular Figurehead;High;M78037;X
350017;Head of Government;Emilie Lescot;1941;1964;SC;Old General;High;M78004;X
350018;Head of Government;Louis Dejoie;1946;1964;SC;Backroom Backstabber;High;M78033;X
350019;Head of Government;Albert Blanchet;1937;1964;SL;Happy Amateur;High;M78003;X
350020;Head of Government;Dumarsais Estimé;1941;1964;SL;Flamboyant Tough Guy;High;M78034;X
350021;Head of Government;Paul Magloire;1946;1964;PA;Old General;High;M78043;X
350022;Head of Government;F. d'Orleans Juste Constant;1937;1964;LWR;Happy Amateur;High;M78021;X
350023;Head of Government;Daniel Fignole;1946;1964;LWR;Political Protege;High;M78045;X
350024;Foreign Minister;Georges Léger;1933;1964;SC;The Cloak N Dagger Schemer;High;M78046;X
350025;Foreign Minister;Marcel Fombrun;1941;1964;SC;Iron Fisted Brute;High;M78013;X
350026;Foreign Minister;Emilie Lescot;1943;1964;SC;General Staffer;Medium;M78004;X
350027;Foreign Minister;dr. Georges Rigaud;1946;1964;SC;Biased Intellectual;Medium;M78049;X
350028;Foreign Minister;Albert Blanchet;1937;1964;SL;Apologetic Clerk;High;M78003;X
350029;Foreign Minister;Jacques Wadestrand;1941;1964;SL;Great Compromiser;High;M78051;X
350030;Foreign Minister;Andre Dumont;1943;1964;SL;Iron Fisted Brute;Medium;M78052;X
350031;Foreign Minister;Timoléon Cesar Brutus;1946;1964;SL;Ideological Crusader;Medium;M78053;X
350032;Foreign Minister;Timoléon Cesar Brutus;1946;1964;PA;Ideological Crusader;Medium;M78053;X
350033;Foreign Minister;Mirko Chandler;1937;1964;LWR;The Cloak N Dagger Schemer;Medium;M78023;X
350034;Foreign Minister;F. d'Orleans Juste Constant;1941;1964;LWR;Biased Intellectual;High;M78021;X
350035;Foreign Minister;Clement Jumelle;1946;1964;LWR;Apologetic Clerk;High;M78057;X
350036;Minister of Armament;Luis Dabtes Bellegarde;1937;1964;SC;Corrupt Kleptocrat;Medium;M78005;X
350037;Minister of Armament;Luc Dominique;1941;1964;SC;Tank Proponent;Medium;M78014;X
350038;Minister of Armament;Jean Francois Duvalier;1945;1964;SC;Administrative Genius;Low;M78015;X
350039;Minister of Armament;Louis Dejoie;1946;1964;SC;laissez-faire capitalist;Low;M78033;X
350040;Minister of Armament;Max Charlmes;1937;1964;SL;Strategic Air Proponent;Low;M78062;X
350041;Minister of Armament;Frederic Doret;1941;1964;SL;Resource Industrialist;Low;M78063;X
350042;Minister of Armament;Armand Ouellet;1946;1964;SL;Administrative Genius;Low;M78064;X
350043;Minister of Armament;F. d'Orleans Juste Constant;1946;1964;PA;laissez-faire capitalist;High;M78021;X
350044;Minister of Armament;Clement Jumelle;1937;1964;LWR;Air Superiority Proponent;High;M78057;X
350045;Minister of Armament;Michel Corvington Raymond;1941;1964;LWR;Theoretical Scientist;Medium;M78024;X
350046;Minister of Security;Stenio Vincent;1937;1964;SC;Crooked Kleptocrat;High;M78001;X
350047;Minister of Security;Auguste Bonamy;1941;1964;SC;Silent Lawyer;High;M78069;X
350048;Minister of Security;Emilie Lescot;1945;1964;SC;Man of the People;Medium;M78004;X
350049;Minister of Security;Gusley Vildrouin;1946;1964;SC;Back Stabber;Low;M78071;X
350050;Minister of Security;Dumarsais Estimé;1937;1964;SL;Back Stabber;High;M78034;X
350051;Minister of Security;Max Charlmes;1941;1964;SL;Crooked Kleptocrat;Low;M78062;X
350052;Minister of Security;Jean Francois Duvalier;1946;1964;SL;Efficient Sociopath;Low;M78015;X
350053;Minister of Security;Antoine Levelt;1946;1964;PA;Silent Lawyer;High;M78075;X
350054;Minister of Security;Belmeau Max-Pierre;1937;1964;LWR;Back Stabber;Medium;M78076;X
350055;Minister of Security;Victor Vivian;1941;1964;LWR;Efficient Sociopath;Medium;M78025;X
350056;Minister of Security;Daniel Fignole;1946;1964;LWR;Silent Lawyer;High;M78045;X
350057;Head of Military Intelligence;Joseph Louis Borno;1937;1964;SC;Technical Specialist;High;M78079;X
350058;Head of Military Intelligence;Luis Dabtes Bellegarde;1941;1964;SC;Industrial Specialist;Medium;M78005;X
350059;Head of Military Intelligence;dr. Georges Rigaud;1945;1964;SC;Logistics Specialist;Medium;M78049;X
350060;Head of Military Intelligence;Gusley Vildrouin;1937;1964;SL;Logistics Specialist;Low;M78071;X
350061;Head of Military Intelligence;Andre Dumont;1941;1964;SL;Naval Intelligence Specialist;Medium;M78052;X
350062;Head of Military Intelligence;Max Charlmes;1946;1964;SL;Technical Specialist;Low;M78062;X
350063;Head of Military Intelligence;Antoine Levelt;1946;1964;PA;Logistics Specialist;High;M78075;X
350064;Head of Military Intelligence;Rock Desroses;1937;1964;LWR;Technical Specialist;Medium;M78026;X
350065;Head of Military Intelligence;Belmeau Max-Pierre;1941;1964;LWR;Logistics Specialist;Medium;M78076;X
350066;Head of Military Intelligence;Demosthenes Calixte;1946;1964;LWR;Political Specialist;Medium;M78037;X
350067;Chief of Staff;Sebastien de Arrondé;1939;1964;SC;School of Manoeuvre;Medium;M78006;X
