JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
50001;Head of State;Hirohito;1933;1964;PA;Puppet emperor;High;M5001;X
50002;Head of Government;Okada Keisuke;1933;1964;PA;Happy Amateur;High;M5002;X
50003;Foreign Minister;Hirota Koki;1933;1964;PA;Great Compromiser;High;M5003;X
50004;Minister of Armament;Machida Chuji;1933;1964;SC;laissez-faire capitalist;High;M5004;X
50005;Minister of Security;Goto Fumio;1933;1964;SC;Silent Lawyer;High;M5005;X
50006;Head of Military Intelligence;Okamura Yasuji;1933;1964;PA;Political Specialist;Very Low;M5006;X
50007;Chief of Staff;Kanin Kotohito;1933;1964;PA;School of Defence;Very Low;M5007;X
50008;Chief of Army;Kanin Kotohito;1933;1964;PA;Static Defence Doctrine;Very Low;M5007;X
50009;Chief of Navy;Osumi Mineo;1933;1964;FA;Power Projection Doctrine;Very High;M5009;X
50010;Chief of Air Force;Yamamoto Isoroku;1933;1964;FA;Naval Aviation Doctrine;Very High;M5010;X
50011;Head of State;Prince Chichibu;1933;1964;PA;Ruthless Powermonger;Very High;M5207;X
50012;Head of State;Nosaka Sanzo;1933;1964;SD;Barking Buffoon;High;M5011;X
50013;Head of Government;Hayashi Senjuro;1933;1964;PA;Smiling Oilman;High;M5033;X
50014;Head of Government;Konoe Fumimaro;1937;1964;PA;Flamboyant Tough Guy;High;M5034;X
50015;Head of Government;Abe Nobuyuki;1938;1964;PA;Political Protege;High;M5035;X
50016;Head of Government;Yonai Mitsumasa;1940;1964;PA;Ambitious Union Boss;High;M5036;X
50017;Head of Government;Suzuki Kantaro;1945;1964;PA;Corporate Suit;High;M5037;X
50018;Head of Government;Higashikuni Naruhiko;1945;1964;PA;Silent Workhorse;High;M5038;X
50019;Head of Government;Terauchi Hisaichi;1946;1964;PA;Naive Optimist;High;M5039;X
50020;Head of Government;Hirota Koki;1933;1964;FA;Happy Amateur;High;M5003;X
50021;Head of Government;Hiranuma Kiichiro;1939;1964;FA;Old Admiral;High;M5041;X
50022;Head of Government;Tojo Hideki;1941;1964;FA;Old General;High;M5042;X
50023;Head of Government;Koiso Kuniaki;1944;1964;FA;Corporate Suit;High;M5043;X
50024;Head of Government;Goto Fumio;1937;1964;SD;Naive Optimist;High;M5005;X
50025;Head of Government;Katayama Tetsu;1945;1964;SD;Political Protege;High;M5027;X
50026;Head of Government;Ugaki Kazushige;1933;1964;SC;Silent Workhorse;High;M5028;X
50027;Head of Government;Suzuki Kisaburo;1941;1964;SC;Happy Amateur;High;M5029;X
50028;Head of Government;Shidehara Kijuro;1945;1964;SC;Naive Optimist;High;M5030;X
50029;Head of Government;Yoshida Shigeru;1946;1964;SC;Backroom Backstabber;High;M5031;X
50030;Head of Government;Hatoyama Ichiro;1954;1964;SC;Political Protege;High;M5032;X
50031;Head of Government;Miyamoto Kenji;1933;1964;LE;Smiling Oilman;High;M5012;X
50032;Foreign Minister;Nosako Sanzo;1937;1964;SD;The Cloak N Dagger Schemer;Low;M5011;X
50033;Foreign Minister;Ashida Hitoshi;1945;1964;SL;Apologetic Clerk;High;M5046;X
50034;Foreign Minister;Yoshizawa Kenkichi;1933;1964;SC;Ideological Crusader;High;M5047;X
50035;Foreign Minister;Okada Keisuke;1933;1964;SC;Iron Fisted Brute;High;M5002;X
50036;Foreign Minister;Suzuki Kisaburo;1939;1964;SC;The Cloak N Dagger Schemer;Medium;M5029;X
50037;Foreign Minister;Shigemitsu Mamoru;1941;1964;SC;Great Compromiser;Medium;M5050;X
50038;Foreign Minister;Yoshida Shigeru;1945;1964;SC;Apologetic Clerk;Medium;M5031;X
50039;Foreign Minister;Sato Naotake;1937;1964;PA;The Cloak N Dagger Schemer;Medium;M5053;X
50040;Foreign Minister;Ugaki Kazushige;1938;1964;PA;Biased Intellectual;Medium;M5028;X
50041;Foreign Minister;Konoe Fumimaro;1938;1964;PA;Apologetic Clerk;Medium;M5034;X
50042;Foreign Minister;Arita Hachiro;1933;1964;FA;Ideological Crusader;Medium;M5057;X
50043;Foreign Minister;Abe Nobuyuki;1939;1964;FA;Iron Fisted Brute;Medium;M5035;X
