#allowed_brigades =  artillery
allowed_brigades =  anti_tank		
allowed_brigades =  anti_air		
#allowed_brigades =  rocket_artillery
allowed_brigades =  sp_artillery	
allowed_brigades =  sp_rct_artillery
allowed_brigades =  tank_destroyer	
allowed_brigades =  heavy_armor	
allowed_brigades =  super_heavy_armor
allowed_brigades =  light_armor_brigade
allowed_brigades =  armored_car
allowed_brigades =  engineer			
#allowed_brigades =  police

upgrade = { type = infantry upgrade_time_factor = 0.24 upgrade_cost_factor = 0.46 }
upgrade = { type = motorized upgrade_time_factor = 0.29 upgrade_cost_factor = 0.66 }
upgrade = { type = mechanized upgrade_time_factor = 0.7 upgrade_cost_factor = 0.66 }
upgrade = { type = light_armor upgrade_time_factor = 1 upgrade_cost_factor = 0.46 }

# 0 - 1939 Basic Medium Armored Division
model = {
	cost 					= 24
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 10
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 37
	toughness				= 31
	softness				= 30
	suppression				= 1
	airdefence				= 4
	softattack				= 16
	hardattack				= 18
	airattack				= 4
	transportweight			= 30
	supplyconsumption 		= 2.2
	fuelconsumption			= 8
	no_fuel_combat_mod 		= -0.3
	speed_cap_art			= 5
	speed_cap_eng			= 11
	speed_cap_at			= 10
	speed_cap_aa			= 5
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 1 - 1941 Improved Basic Armored Division
model = {
	cost 					= 26
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 11
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 39
	toughness				= 33
	softness				= 30
	suppression				= 1
	airdefence				= 5
	softattack				= 17
	hardattack				= 20
	airattack				= 5
	transportweight			= 40
	supplyconsumption 		= 2.4
	fuelconsumption			= 8.5
	no_fuel_combat_mod 		= -0.3
	speed_cap_art			= 6
	speed_cap_eng			= 12
	speed_cap_at			= 11
	speed_cap_aa			= 6
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 2 - 1943 Advanced Armored Division
model = {
	cost 					= 28
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 12
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 41
	toughness				= 35
	softness				= 30
	suppression				= 1
	airdefence				= 5
	softattack				= 18
	hardattack				= 22
	airattack				= 6
	transportweight			= 40
	supplyconsumption 		= 2.6
	fuelconsumption			= 9
	no_fuel_combat_mod 		= -0.4
	speed_cap_art			= 6
	speed_cap_eng			= 13
	speed_cap_at			= 12
	speed_cap_aa			= 6
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 3 - 1945 Semi-Modern Armored Division
model = {
	cost 					= 30
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 13
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 43
	toughness				= 37
	softness				= 30
	suppression				= 1
	airdefence				= 6
	softattack				= 19
	hardattack				= 24
	airattack				= 7
	transportweight			= 45
	supplyconsumption 		= 3.0
	fuelconsumption			= 9.5
	no_fuel_combat_mod 		= -0.5
	speed_cap_art			= 8
	speed_cap_eng			= 14
	speed_cap_at			= 13
	speed_cap_aa			= 8
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 4 - 1948 Modern Armored Division
model = {
	cost 					= 32
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 14
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 45
	toughness				= 39
	softness				= 30
	suppression				= 1
	airdefence				= 7
	softattack				= 20
	hardattack				= 26
	airattack				= 8
	transportweight			= 45
	supplyconsumption 		= 3.0
	fuelconsumption			= 9.5
	no_fuel_combat_mod 		= -0.5
	speed_cap_art			= 8
	speed_cap_eng			= 15
	speed_cap_at			= 14
	speed_cap_aa			= 8
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 5 - 1952 Advanced Modern Armored Division
model = {
	cost 					= 34
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 15
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 47
	toughness				= 41
	softness				= 30
	suppression				= 1
	airdefence				= 8
	softattack				= 21
	hardattack				= 28
	airattack				= 9
	transportweight			= 45
	supplyconsumption 		= 3.0
	fuelconsumption			= 9.5
	no_fuel_combat_mod 		= -0.5
	speed_cap_art			= 9
	speed_cap_eng			= 16
	speed_cap_at			= 15
	speed_cap_aa			= 9
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 6 - 1956 Semi-Modern Armored Division
model = {
	cost 					= 36
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 16
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 49
	toughness				= 44
	softness				= 30
	suppression				= 1
	airdefence				= 9
	softattack				= 22
	hardattack				= 30
	airattack				= 10
	transportweight			= 45
	supplyconsumption 		= 3.0
	fuelconsumption			= 9.5
	no_fuel_combat_mod 		= -0.5
	speed_cap_art			= 10
	speed_cap_eng			= 17
	speed_cap_at			= 16
	speed_cap_aa			= 10
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
# 7 - 1962 Modern Armored Division
model = {
	cost 					= 37
	buildtime	 			= 345
	manpower 				= 8
	maxspeed 				= 17
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 51
	toughness				= 45
	softness				= 30
	suppression				= 1
	airdefence				= 10
	softattack				= 23
	hardattack				= 32
	airattack				= 11
	transportweight			= 45
	supplyconsumption 		= 3.0
	fuelconsumption			= 9.5
	no_fuel_combat_mod 		= -0.5
	speed_cap_art			= 11
	speed_cap_eng			= 18
	speed_cap_at			= 17
	speed_cap_aa			= 11
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.25
	reinforce_time		= 1.5
	reinforce_cost 		= 1.25
}
