#allowed_brigades =  artillery
allowed_brigades =  anti_tank		
#allowed_brigades =  anti_air		
#allowed_brigades =  rocket_artillery
allowed_brigades =  sp_artillery	
allowed_brigades =  sp_rct_artillery
allowed_brigades =  tank_destroyer	
allowed_brigades =  light_armor_brigade
allowed_brigades =  heavy_armor	
allowed_brigades =  super_heavy_armor
allowed_brigades =  armored_car
allowed_brigades =  engineer			
#allowed_brigades =  police

upgrade = { type = infantry upgrade_time_factor = 0.24 upgrade_cost_factor = 0.46 }
upgrade = { type = motorized upgrade_time_factor = 0.34 upgrade_cost_factor = 0.66 }
upgrade = { type = light_armor upgrade_time_factor = 1 upgrade_cost_factor = 0.57 }
upgrade = { type = armor upgrade_time_factor = 1 upgrade_cost_factor = 1.18 }

# 0 - 1942 Basic Mechanized Division - 0
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 12
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 43
	toughness				= 32
	softness				= 64
	suppression				= 2
	airdefence				= 5
	softattack				= 16
	hardattack				= 7
	airattack				= 6
	transportweight			= 30
	supplyconsumption 		= 1.3
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art		= 6
	speed_cap_eng		= 13
	speed_cap_at		= 12
	speed_cap_aa		= 6
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
# 1 - 1945 Improved Mechanized Division - 1
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 13
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 46
	toughness				= 36
	softness				= 60
	suppression				= 2
	airdefence				= 6
	softattack				= 20
	hardattack				= 8
	airattack				= 7
	transportweight			= 30
	supplyconsumption 		= 1.4
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art		= 7
	speed_cap_eng		= 14
	speed_cap_at		= 13
	speed_cap_aa		= 7
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
# 2 - 1948 Advanced Mechanized Division - 2
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 14
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 49
	toughness				= 39
	softness				= 57
	suppression				= 2
	airdefence				= 7
	softattack				= 21
	hardattack				= 9
	airattack				= 8
	transportweight			= 30
	supplyconsumption 		= 1.5
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art		= 8
	speed_cap_eng		= 15
	speed_cap_at		= 14
	speed_cap_aa		= 8
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
# 3 - 1952 Semi-Modern Mechanized Division - 3
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 15
	defaultorganisation 	= 30
	morale					= 30
	defensiveness 			= 52
	toughness				= 42
	softness				= 55
	suppression				= 2
	airdefence				= 8
	softattack				= 23
	hardattack				= 10
	airattack				= 9
	transportweight			= 30
	supplyconsumption 		= 1.5
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art			= 9
	speed_cap_eng			= 16
	speed_cap_at			= 15
	speed_cap_aa			= 9
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
# 4 - 1956 Modern Mechanized Division - 4
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 16
	defaultorganisation 	= 30
	morale					= 35
	defensiveness 			= 55
	toughness				= 45 # was 37
	softness				= 55
	suppression				= 2
	airdefence				= 9
	softattack				= 25
	hardattack				= 11
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 1.5
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art			= 11
	speed_cap_eng			= 17
	speed_cap_at			= 16
	speed_cap_aa			= 11
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
# 5 - 1960 Elite Mechanized Division - 5
model = {
	cost 					= 15
	buildtime	 			= 345
	manpower 				= 12
	maxspeed 				= 17
	defaultorganisation 	= 30
	morale					= 35
	defensiveness 			= 58
	toughness				= 48 # was 42
	softness				= 55
	suppression				= 2
	airdefence				= 10
	softattack				= 28
	hardattack				= 12
	airattack				= 11
	transportweight			= 30
	supplyconsumption 		= 1.5
	fuelconsumption			= 5.5
	no_fuel_combat_mod 		= -0.2
	speed_cap_art			= 11
	speed_cap_eng			= 18
	speed_cap_at			= 17
	speed_cap_aa			= 11
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 1.20
	reinforce_time		= 1.5
	reinforce_cost 		= 1.20
}
