allowed_brigades =  escort
max_allowed_brigades = 1

# 0 - Early
model = {
	cost 					= 30
	buildtime				= 200
	defaultorganisation 		= 20
	morale				= 30
	manpower				= 2.1  #in average 1 pilot per 13 transported troops, PAR = 9MP ~0.75MP i multiplied it by 3 to account for groundelements
	maxspeed				= 180
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 4
	airdefence				= 0
	airattack			= 0
	strategicattack			= 0
	softattack			= 0
	hardattack			= 0
	navalattack			= 0
	transportcapability			= 1
	range					= 300
	supplyconsumption 			= 1
	fuelconsumption				= 1.6
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
# 1 - Basic
model = {
	cost 					= 30
	buildtime				= 200
	defaultorganisation 		= 20
	morale				= 30
	manpower				= 2.1
	maxspeed				= 250
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 5
	airdefence				= 1
	airattack			= 0
	strategicattack			= 0
	softattack			= 0
	hardattack			= 0
	navalattack			= 0
	transportcapability			= 1
	range					= 400
	supplyconsumption 			= 1
	fuelconsumption				= 1.7
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
# 2 - Improved
model = {
	cost 					= 25
	buildtime				= 200
	defaultorganisation 		= 20
	morale				= 30
	manpower				= 2.1
	maxspeed				= 300
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 6
	airdefence				= 1
	airattack			= 0
	strategicattack			= 0
	softattack			= 0
	hardattack			= 0
	navalattack			= 0
	transportcapability			= 1
	range					= 500
	supplyconsumption 			= 1
	fuelconsumption				= 1.8
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
# 3 - Advanced
model = {
	cost 						= 20
	buildtime					= 200
	defaultorganisation 		= 20
	morale						= 30
	manpower					= 2.1
	maxspeed					= 350
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 2
	airattack					= 0
	strategicattack				= 0
	softattack					= 0
	hardattack					= 0
	navalattack					= 0
	transportcapability			= 1
	range						= 600
	supplyconsumption 			= 1
	fuelconsumption				= 2
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
# 4 - Semi modern
model = {
	cost 					= 20
	buildtime				= 200
	defaultorganisation 		= 20
	morale				= 30
	manpower				= 2.1
	maxspeed				= 375
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 10
	airdefence				= 4
	airattack			= 0
	strategicattack			= 0
	softattack			= 0
	hardattack			= 0
	navalattack			= 0
	transportcapability			= 1
	range					= 800
	supplyconsumption 			= 1
	fuelconsumption				= 2.1
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
# 5 - Modern
model = {
	cost 					= 20
	buildtime				= 200
	defaultorganisation 		= 20
	morale				= 30
	manpower				= 2.1
	maxspeed				= 400
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	surfacedefence				= 12
	airdefence				= 5
	airattack			= 0
	strategicattack			= 0
	softattack			= 0
	hardattack			= 0
	navalattack			= 0
	transportcapability			= 1
	range					= 1000
	supplyconsumption 			= 1
	fuelconsumption				= 2.2
	upgrade_time_factor = 0.75
	upgrade_cost_factor = 0.83
	reinforce_time		= 1.5
	reinforce_cost 		= 0.83
}
